"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BHARTIARTL","EQ","01-Jan-2015","352.70","354.40","364.90","351.65","363.00","362.90","358.90","22,17,263","79,57,69,691.50","25,445","10,42,436","47.01"
"BHARTIARTL","EQ","02-Jan-2015","362.90","363.80","367.00","362.00","365.15","365.05","364.73","25,19,814","91,90,42,492.10","46,461","14,93,017","59.25"
"BHARTIARTL","EQ","05-Jan-2015","365.05","366.25","366.25","355.60","357.20","356.95","359.31","14,46,759","51,98,36,884.55","27,848","6,88,766","47.61"
"BHARTIARTL","EQ","06-Jan-2015","356.95","356.10","356.10","348.40","354.50","354.15","353.79","35,30,178","1,24,89,26,247.05","59,463","27,25,330","77.20"
"BHARTIARTL","EQ","07-Jan-2015","354.15","351.95","358.00","350.50","355.00","355.00","355.41","44,15,546","1,56,93,43,054.60","1,17,150","34,61,811","78.40"
"BHARTIARTL","EQ","08-Jan-2015","355.00","356.55","362.95","353.15","359.50","361.15","360.66","63,95,881","2,30,67,45,514.70","92,045","55,31,282","86.48"
"BHARTIARTL","EQ","09-Jan-2015","361.15","362.50","364.90","353.95","354.00","355.80","357.68","34,53,422","1,23,52,13,112.35","80,566","21,37,900","61.91"
"BHARTIARTL","EQ","12-Jan-2015","355.80","355.70","355.70","347.10","348.75","348.95","349.12","20,52,141","71,64,35,022.60","68,016","13,44,675","65.53"
"BHARTIARTL","EQ","13-Jan-2015","348.95","349.90","352.30","344.30","346.90","346.30","348.64","14,45,773","50,40,53,448.40","57,658","8,07,101","55.82"
"BHARTIARTL","EQ","14-Jan-2015","346.30","346.95","348.20","344.65","346.25","345.80","345.93","30,77,986","1,06,47,72,351.05","61,697","22,49,431","73.08"
"BHARTIARTL","EQ","15-Jan-2015","345.80","346.10","352.60","343.30","348.70","349.35","350.03","44,75,688","1,56,66,21,442.95","45,587","35,16,207","78.56"
"BHARTIARTL","EQ","16-Jan-2015","349.35","347.00","352.00","339.10","342.60","342.85","341.60","88,13,544","3,01,06,81,050.65","99,529","71,83,712","81.51"
"BHARTIARTL","EQ","19-Jan-2015","342.85","343.90","352.30","341.90","350.75","350.45","348.42","30,50,874","1,06,29,96,015.55","60,956","19,40,324","63.60"
"BHARTIARTL","EQ","20-Jan-2015","350.45","350.45","357.00","348.05","354.10","354.90","353.18","26,05,572","92,02,23,045.40","47,528","16,09,729","61.78"
"BHARTIARTL","EQ","21-Jan-2015","354.90","355.00","370.00","354.50","368.20","369.00","365.61","45,53,897","1,66,49,30,838.05","62,705","25,18,202","55.30"
"BHARTIARTL","EQ","22-Jan-2015","369.00","373.35","373.95","361.15","369.50","370.00","368.55","22,55,707","83,13,37,128.85","39,249","12,59,402","55.83"
"BHARTIARTL","EQ","23-Jan-2015","370.00","372.95","387.75","372.00","383.25","384.10","382.39","56,50,375","2,16,06,39,782.35","84,384","35,27,772","62.43"
"BHARTIARTL","EQ","27-Jan-2015","384.10","382.70","395.00","381.60","393.50","394.20","389.64","47,48,323","1,85,01,29,055.10","61,506","31,71,784","66.80"
"BHARTIARTL","EQ","28-Jan-2015","394.20","393.70","395.70","371.60","375.70","373.60","378.92","40,47,153","1,53,35,35,333.35","61,580","21,47,412","53.06"
"BHARTIARTL","EQ","29-Jan-2015","373.60","374.80","380.50","363.05","377.10","375.80","370.21","67,97,437","2,51,64,81,775.60","1,00,662","45,23,165","66.54"
"BHARTIARTL","EQ","30-Jan-2015","375.80","380.80","380.80","366.15","374.00","373.70","371.93","48,75,027","1,81,31,66,223.35","65,846","30,88,889","63.36"
"BHARTIARTL","EQ","02-Feb-2015","373.70","370.00","373.35","356.50","360.70","359.30","361.42","37,46,754","1,35,41,66,003.95","70,323","22,71,354","60.62"
"BHARTIARTL","EQ","03-Feb-2015","359.30","360.15","374.00","360.10","374.00","371.55","368.05","38,23,467","1,40,72,18,135.35","56,849","21,87,733","57.22"
"BHARTIARTL","EQ","04-Feb-2015","371.55","375.00","377.30","365.00","369.00","368.95","369.74","49,88,487","1,84,44,27,759.45","83,281","27,82,425","55.78"
"BHARTIARTL","EQ","05-Feb-2015","368.95","370.00","371.90","360.05","362.90","364.70","365.96","74,43,731","2,72,41,39,591.45","69,590","56,03,018","75.27"
"BHARTIARTL","EQ","06-Feb-2015","364.70","364.90","370.00","359.00","367.50","368.25","367.01","29,91,270","1,09,78,31,031.30","33,591","16,16,868","54.05"
"BHARTIARTL","EQ","09-Feb-2015","368.25","365.00","365.70","353.25","358.20","356.10","358.14","27,31,044","97,81,02,039.85","70,846","17,86,561","65.42"
"BHARTIARTL","EQ","10-Feb-2015","356.10","355.30","361.80","353.00","357.95","356.15","355.29","61,71,167","2,19,25,28,432.15","60,755","46,53,094","75.40"
"BHARTIARTL","EQ","11-Feb-2015","356.15","356.95","360.65","348.00","360.50","356.10","352.44","31,44,877","1,10,83,72,685.95","38,084","20,23,352","64.34"
"BHARTIARTL","EQ","12-Feb-2015","356.10","359.00","359.85","349.30","353.45","352.70","351.48","39,31,238","1,38,17,64,985.50","64,336","26,06,513","66.30"
"BHARTIARTL","EQ","13-Feb-2015","352.70","353.80","356.50","349.30","356.45","355.00","352.67","30,44,239","1,07,36,00,779.80","51,915","18,58,801","61.06"
"BHARTIARTL","EQ","16-Feb-2015","355.00","353.00","365.45","352.00","362.00","361.35","362.19","21,23,212","76,89,96,599.90","50,488","11,40,536","53.72"
"BHARTIARTL","EQ","18-Feb-2015","361.35","363.05","363.55","350.50","353.00","352.00","352.76","30,72,179","1,08,37,51,866.80","95,036","20,24,932","65.91"
"BHARTIARTL","EQ","19-Feb-2015","352.00","354.95","358.40","350.20","356.00","356.70","354.48","27,55,381","97,67,39,448.65","44,456","16,10,514","58.45"
"BHARTIARTL","EQ","20-Feb-2015","356.70","355.00","358.80","348.25","349.65","349.35","351.74","36,70,043","1,29,09,12,696.30","77,198","24,46,501","66.66"
"BHARTIARTL","EQ","23-Feb-2015","349.35","348.00","350.90","345.20","347.00","347.30","347.52","21,72,758","75,50,71,740.55","44,860","12,87,483","59.26"
"BHARTIARTL","EQ","24-Feb-2015","347.30","346.10","349.85","340.10","342.45","342.05","342.62","66,61,135","2,28,22,22,786.10","68,346","51,77,803","77.73"
"BHARTIARTL","EQ","25-Feb-2015","342.05","346.90","350.50","344.65","349.65","348.60","348.18","25,98,042","90,45,95,591.80","36,412","14,85,125","57.16"
"BHARTIARTL","EQ","26-Feb-2015","348.60","350.00","352.60","346.25","347.05","349.35","349.96","41,20,409","1,44,19,87,384.85","60,895","28,74,736","69.77"
"BHARTIARTL","EQ","27-Feb-2015","349.35","349.00","358.10","347.35","358.10","355.20","352.40","33,44,667","1,17,86,76,947.60","77,070","22,37,283","66.89"
"BHARTIARTL","EQ","28-Feb-2015","355.20","356.35","360.85","352.10","355.60","356.25","356.43","15,30,831","54,56,32,010.05","42,897","5,55,656","36.30"
"BHARTIARTL","EQ","02-Mar-2015","356.25","356.30","363.00","345.50","348.75","349.05","352.36","41,63,665","1,46,70,95,403.35","76,810","25,38,194","60.96"
"BHARTIARTL","EQ","03-Mar-2015","349.05","350.00","350.60","343.70","348.50","349.25","347.85","20,67,018","71,90,19,644.30","35,499","9,37,824","45.37"
"BHARTIARTL","EQ","04-Mar-2015","349.25","352.00","358.40","349.30","350.00","351.25","353.43","33,29,753","1,17,68,21,518.75","69,294","17,28,566","51.91"
"BHARTIARTL","EQ","05-Mar-2015","351.25","351.40","351.90","344.05","347.50","347.90","346.97","34,96,176","1,21,30,68,170.90","53,464","22,30,269","63.79"
"BHARTIARTL","EQ","09-Mar-2015","347.90","346.75","346.75","339.10","343.95","343.45","342.90","34,46,284","1,18,17,27,295.65","59,615","22,56,733","65.48"
"BHARTIARTL","EQ","10-Mar-2015","343.45","342.05","382.30","340.75","367.05","367.95","364.20","1,16,22,814","4,23,30,38,259.35","1,31,189","56,07,923","48.25"
"BHARTIARTL","EQ","11-Mar-2015","367.95","370.00","394.00","362.25","390.00","389.55","377.68","1,29,04,845","4,87,39,43,285.35","1,45,322","67,94,535","52.65"
"BHARTIARTL","EQ","12-Mar-2015","389.55","389.45","399.90","387.05","394.45","397.80","395.67","1,65,93,635","6,56,56,15,275.30","1,58,727","1,00,53,815","60.59"
"BHARTIARTL","EQ","13-Mar-2015","397.80","398.95","402.70","389.40","400.10","400.25","398.81","1,14,04,462","4,54,82,39,014.05","1,29,158","61,01,895","53.50"
"BHARTIARTL","EQ","16-Mar-2015","400.25","399.90","399.90","386.20","387.40","388.40","393.17","1,40,64,935","5,52,98,42,130.80","1,03,870","84,99,037","60.43"
"BHARTIARTL","EQ","17-Mar-2015","388.40","392.20","392.40","379.00","385.95","386.55","385.95","1,18,59,215","4,57,70,37,241.00","51,045","94,85,591","79.98"
"BHARTIARTL","EQ","18-Mar-2015","386.55","385.90","390.30","381.50","382.00","382.25","384.14","43,05,526","1,65,39,03,443.35","67,794","29,55,262","68.64"
"BHARTIARTL","EQ","19-Mar-2015","382.25","383.00","384.95","379.75","381.50","381.95","382.59","41,78,353","1,59,86,06,250.35","51,230","29,42,715","70.43"
"BHARTIARTL","EQ","20-Mar-2015","381.95","381.00","387.80","377.60","380.70","380.25","381.96","65,40,065","2,49,80,26,503.00","78,484","50,63,535","77.42"
"BHARTIARTL","EQ","23-Mar-2015","380.25","384.00","389.90","378.00","384.50","383.25","384.15","31,96,617","1,22,79,86,088.90","40,686","16,08,171","50.31"
"BHARTIARTL","EQ","24-Mar-2015","383.25","381.80","396.50","381.60","395.15","393.85","393.05","73,01,973","2,87,00,38,342.25","58,470","55,35,467","75.81"
"BHARTIARTL","EQ","25-Mar-2015","393.85","387.00","397.45","386.95","396.00","395.00","394.31","1,02,51,492","4,04,22,37,495.95","85,523","80,67,348","78.69"
"BHARTIARTL","EQ","26-Mar-2015","395.00","390.00","403.50","390.00","400.00","399.65","399.91","1,14,06,895","4,56,17,30,225.00","1,04,898","84,36,380","73.96"
"BHARTIARTL","EQ","27-Mar-2015","399.65","401.00","404.50","371.10","380.25","376.50","386.22","84,33,322","3,25,71,56,953.85","1,15,544","49,21,574","58.36"
"BHARTIARTL","EQ","30-Mar-2015","376.50","380.00","392.90","377.60","388.15","389.40","388.57","46,56,455","1,80,93,78,980.10","79,078","24,72,124","53.09"
"BHARTIARTL","EQ","31-Mar-2015","389.40","389.05","395.70","385.00","393.95","393.30","391.56","60,47,311","2,36,78,60,423.90","1,06,307","42,96,255","71.04"
"BHARTIARTL","EQ","01-Apr-2015","393.30","393.30","404.85","393.05","401.00","402.30","401.27","54,94,883","2,20,49,44,593.75","52,894","36,30,411","66.07"
"BHARTIARTL","EQ","06-Apr-2015","402.30","402.30","409.10","398.45","399.70","400.80","403.83","43,48,717","1,75,61,35,455.40","1,06,049","27,20,542","62.56"
"BHARTIARTL","EQ","07-Apr-2015","400.80","402.00","410.00","396.20","409.35","404.75","400.68","42,28,563","1,69,42,91,750.35","57,065","27,50,963","65.06"
"BHARTIARTL","EQ","08-Apr-2015","404.75","407.00","422.85","407.00","419.50","419.15","414.62","57,61,565","2,38,88,35,922.00","75,608","32,15,405","55.81"
"BHARTIARTL","EQ","09-Apr-2015","419.15","419.20","420.50","405.25","405.50","407.20","410.22","46,65,113","1,91,37,08,824.95","57,610","29,56,499","63.37"
"BHARTIARTL","EQ","10-Apr-2015","407.20","407.00","413.90","401.50","409.55","411.95","408.94","45,99,422","1,88,08,76,023.65","49,286","27,30,366","59.36"
"BHARTIARTL","EQ","13-Apr-2015","411.95","409.10","427.00","408.00","425.45","425.70","420.54","38,82,509","1,63,27,41,577.55","60,885","19,53,558","50.32"
"BHARTIARTL","EQ","15-Apr-2015","425.70","425.00","425.00","409.15","414.50","415.15","414.56","35,00,240","1,45,10,61,290.90","53,134","13,48,874","38.54"
"BHARTIARTL","EQ","16-Apr-2015","415.15","416.15","422.95","414.45","417.50","418.00","419.20","30,91,097","1,29,57,74,072.95","52,543","13,49,086","43.64"
"BHARTIARTL","EQ","17-Apr-2015","418.00","419.95","424.70","403.90","404.25","405.95","411.45","55,56,587","2,28,62,52,282.90","85,725","36,36,077","65.44"
"BHARTIARTL","EQ","20-Apr-2015","405.95","403.80","407.60","398.75","402.80","402.30","403.21","32,82,831","1,32,36,77,964.65","64,980","18,50,394","56.37"
"BHARTIARTL","EQ","21-Apr-2015","402.30","397.65","409.95","394.00","398.30","398.30","402.65","38,89,611","1,56,61,40,494.75","51,266","22,67,326","58.29"
"BHARTIARTL","EQ","22-Apr-2015","398.30","397.00","401.30","391.20","400.00","399.40","396.92","41,99,482","1,66,68,69,494.10","45,795","27,53,331","65.56"
"BHARTIARTL","EQ","23-Apr-2015","399.40","401.80","402.90","397.00","400.00","399.85","400.11","57,44,973","2,29,86,02,649.30","75,788","43,11,138","75.04"
"BHARTIARTL","EQ","24-Apr-2015","399.85","400.00","403.20","394.95","400.00","399.15","399.84","74,02,536","2,95,98,38,538.20","31,251","64,58,916","87.25"
"BHARTIARTL","EQ","27-Apr-2015","399.15","398.95","403.70","384.15","386.15","391.00","399.22","1,51,64,337","6,05,39,59,649.75","29,785","1,39,63,402","92.08"
"BHARTIARTL","EQ","28-Apr-2015","391.00","389.00","409.50","383.40","397.35","400.75","393.24","51,88,517","2,04,03,46,808.60","59,578","21,01,281","40.50"
"BHARTIARTL","EQ","29-Apr-2015","400.75","394.00","402.50","383.90","385.30","387.35","396.24","1,12,48,419","4,45,71,24,545.55","1,51,344","71,30,191","63.39"
"BHARTIARTL","EQ","30-Apr-2015","387.35","387.45","388.00","371.80","382.00","381.10","378.21","82,23,433","3,11,01,75,550.60","1,18,336","57,00,744","69.32"
