"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKBANK","EQ","15-Dec-2022","1,873.20","1,875.55","1,881.80","1,854.90","1,855.10","1,863.20","1,869.25","20,41,799","3,81,66,36,171.40","70,789","10,88,068","53.29"
"KOTAKBANK","EQ","16-Dec-2022","1,863.20","1,854.70","1,856.95","1,835.20","1,842.00","1,840.55","1,847.02","24,87,828","4,59,50,62,833.85","75,851","17,44,845","70.14"
"KOTAKBANK","EQ","19-Dec-2022","1,840.55","1,840.55","1,864.00","1,840.50","1,859.75","1,858.15","1,851.65","17,13,647","3,17,30,71,747.80","65,070","11,87,362","69.29"
"KOTAKBANK","EQ","20-Dec-2022","1,858.15","1,845.00","1,861.95","1,834.75","1,850.35","1,847.10","1,843.67","14,10,586","2,60,06,60,848.30","71,893","9,03,383","64.04"
"KOTAKBANK","EQ","21-Dec-2022","1,847.10","1,860.50","1,860.95","1,809.00","1,815.95","1,814.60","1,833.46","23,82,869","4,36,89,03,081.95","76,924","14,76,256","61.95"
"KOTAKBANK","EQ","22-Dec-2022","1,814.60","1,826.00","1,835.00","1,819.00","1,823.00","1,826.05","1,826.97","17,14,093","3,13,16,04,155.20","79,877","11,18,433","65.25"
"KOTAKBANK","EQ","23-Dec-2022","1,826.05","1,815.95","1,839.15","1,811.95","1,819.50","1,821.95","1,826.03","21,02,126","3,83,85,35,972.50","1,06,565","12,03,568","57.25"
"KOTAKBANK","EQ","26-Dec-2022","1,821.95","1,821.95","1,826.10","1,794.20","1,810.85","1,813.55","1,806.17","47,46,738","8,57,34,25,067.75","1,02,937","36,40,131","76.69"
"KOTAKBANK","EQ","27-Dec-2022","1,813.55","1,822.65","1,827.95","1,807.00","1,820.65","1,820.90","1,817.90","15,48,286","2,81,46,25,389.65","68,406","9,84,173","63.57"
"KOTAKBANK","EQ","28-Dec-2022","1,820.90","1,824.40","1,831.40","1,815.25","1,818.00","1,820.10","1,823.83","19,04,268","3,47,30,60,050.80","97,755","12,23,705","64.26"
"KOTAKBANK","EQ","29-Dec-2022","1,820.10","1,814.40","1,820.00","1,801.00","1,820.00","1,818.75","1,812.37","21,54,490","3,90,47,37,471.25","93,075","15,89,138","73.76"
"KOTAKBANK","EQ","30-Dec-2022","1,818.75","1,825.10","1,838.00","1,822.30","1,826.00","1,827.25","1,831.75","26,92,688","4,93,23,18,676.00","56,207","15,20,074","56.45"
