"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"WIPRO","EQ","01-Jan-2024","471.30","473.00","483.50","468.30","474.80","477.15","477.34","1,01,73,639","4,85,62,83,990.30","1,39,809","30,43,928","29.92"
"WIPRO","EQ","02-Jan-2024","477.15","478.00","478.00","464.30","469.55","469.20","469.70","71,41,257","3,35,42,29,294.00","1,24,248","26,28,348","36.81"
"WIPRO","EQ","03-Jan-2024","469.20","463.90","463.90","455.00","456.00","455.90","458.42","97,67,182","4,47,74,57,367.05","2,08,213","44,20,494","45.26"
"WIPRO","EQ","04-Jan-2024","455.90","457.00","459.85","451.40","452.45","452.40","454.67","75,85,168","3,44,87,36,823.65","1,52,999","32,95,903","43.45"
"WIPRO","EQ","05-Jan-2024","452.40","455.05","463.00","453.50","456.05","456.60","458.35","84,44,565","3,87,06,00,023.95","1,77,606","25,32,447","29.99"
"WIPRO","EQ","08-Jan-2024","456.60","457.50","460.00","449.05","450.60","450.35","453.95","50,41,443","2,28,85,76,121.25","1,22,009","18,82,835","37.35"
"WIPRO","EQ","09-Jan-2024","450.35","458.00","462.50","449.95","451.50","450.75","456.18","72,32,524","3,29,93,00,580.60","1,35,994","24,91,631","34.45"
"WIPRO","EQ","10-Jan-2024","450.75","451.45","456.00","449.00","455.65","453.60","452.29","44,37,338","2,00,69,49,671.70","91,350","14,56,951","32.83"
"WIPRO","EQ","11-Jan-2024","453.60","454.95","456.90","446.70","448.55","448.20","451.39","43,19,409","1,94,97,38,022.65","1,14,196","16,24,924","37.62"
"WIPRO","EQ","12-Jan-2024","448.20","455.00","469.00","455.00","466.00","465.45","465.19","1,80,43,367","8,39,35,07,441.20","4,18,036","59,59,104","33.03"
"WIPRO","EQ","15-Jan-2024","465.45","511.95","529.00","489.15","495.10","494.60","504.57","6,39,22,132","32,25,31,08,339.25","5,61,618","1,46,53,036","22.92"
"WIPRO","EQ","16-Jan-2024","494.60","495.00","495.00","480.50","485.75","485.00","485.37","1,29,56,246","6,28,85,65,190.30","2,06,078","39,58,423","30.55"
"WIPRO","EQ","17-Jan-2024","485.00","475.15","491.50","472.00","483.00","482.40","483.21","1,43,34,466","6,92,65,40,674.70","1,78,223","43,24,835","30.17"
"WIPRO","EQ","18-Jan-2024","482.40","482.40","489.00","468.40","482.30","482.65","478.52","1,30,72,462","6,25,54,99,769.45","2,00,207","33,15,459","25.36"
"WIPRO","EQ","19-Jan-2024","482.65","488.00","493.35","483.60","484.90","485.05","487.18","77,49,310","3,77,52,92,896.75","1,36,626","26,21,567","33.83"
"WIPRO","EQ","20-Jan-2024","485.05","486.40","488.90","469.05","478.30","477.95","479.48","60,45,801","2,89,88,37,065.15","1,14,091","13,51,171","22.35"
"WIPRO","EQ","23-Jan-2024","477.95","478.05","486.00","467.05","471.50","469.90","477.07","99,86,168","4,76,40,74,713.60","1,42,848","52,12,852","52.20"
