"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","01-Jan-2024","642.05","642.20","646.90","638.00","638.10","641.35","643.93","82,95,548","5,34,17,16,373.30","2,57,804","38,22,880","46.08"
"SBIN","EQ","02-Jan-2024","641.35","641.35","648.00","633.85","639.20","639.45","640.47","1,51,64,482","9,71,23,46,967.95","2,49,803","57,63,498","38.01"
"SBIN","EQ","03-Jan-2024","639.45","639.35","648.00","635.80","644.50","643.45","643.21","1,45,71,772","9,37,27,32,858.90","2,52,225","55,71,546","38.24"
"SBIN","EQ","04-Jan-2024","643.45","642.50","646.40","638.65","643.60","642.75","642.95","1,38,83,388","8,92,63,55,539.75","2,71,568","68,90,470","49.63"
"SBIN","EQ","05-Jan-2024","642.75","645.00","651.75","637.75","641.45","641.95","645.02","1,59,84,585","10,31,04,53,920.00","2,72,662","60,17,286","37.64"
"SBIN","EQ","08-Jan-2024","641.95","640.00","645.00","625.05","627.90","627.00","633.49","1,47,39,531","9,33,73,25,175.95","3,36,839","68,36,375","46.38"
"SBIN","EQ","09-Jan-2024","627.00","632.00","634.35","624.50","625.95","625.40","629.70","1,34,00,235","8,43,80,88,899.05","2,36,123","54,99,185","41.04"
"SBIN","EQ","10-Jan-2024","625.40","624.80","625.30","618.20","622.00","621.75","622.15","1,27,42,464","7,92,76,74,893.10","2,13,657","71,78,612","56.34"
"SBIN","EQ","11-Jan-2024","621.75","626.00","627.15","618.50","621.25","620.20","621.85","1,55,33,860","9,65,97,92,551.10","2,84,550","99,49,858","64.05"
"SBIN","EQ","12-Jan-2024","620.20","623.80","636.50","621.10","635.25","633.60","630.54","1,66,20,797","10,48,01,04,627.65","3,02,558","80,21,953","48.26"
"SBIN","EQ","15-Jan-2024","633.60","638.90","645.50","636.10","640.80","640.10","640.23","1,68,44,018","10,78,40,99,571.95","3,00,031","73,73,550","43.78"
"SBIN","EQ","16-Jan-2024","640.10","640.00","644.90","633.45","637.55","636.90","639.72","1,50,25,543","9,61,21,87,789.45","2,53,396","63,76,490","42.44"
"SBIN","EQ","17-Jan-2024","636.90","624.00","636.80","623.00","626.45","626.00","628.60","3,00,16,308","18,86,83,96,654.85","4,28,458","93,47,325","31.14"
"SBIN","EQ","18-Jan-2024","626.00","625.80","633.45","619.05","628.50","628.30","627.46","1,46,95,436","9,22,07,94,332.40","2,39,183","56,74,908","38.62"
"SBIN","EQ","19-Jan-2024","628.30","633.00","635.50","624.70","628.70","627.75","629.47","1,16,75,202","7,34,91,40,974.30","2,08,754","53,57,034","45.88"
"SBIN","EQ","20-Jan-2024","627.75","629.00","633.80","624.10","631.00","631.40","628.99","98,86,760","6,21,87,02,860.50","1,33,765","22,67,972","22.94"
"SBIN","EQ","23-Jan-2024","631.40","627.00","634.90","600.65","606.00","605.10","613.88","3,09,54,343","19,00,24,05,937.25","4,09,569","1,42,65,326","46.09"
"SBIN","EQ","24-Jan-2024","605.10","609.95","622.35","603.10","618.00","618.30","615.78","1,92,21,835","11,83,64,60,488.35","2,74,606","81,17,404","42.23"
"SBIN","EQ","25-Jan-2024","618.30","618.50","623.80","606.25","615.00","612.75","612.47","2,26,84,904","13,89,39,36,068.05","2,95,756","1,01,32,801","44.67"
"SBIN","EQ","29-Jan-2024","612.75","619.00","629.50","615.60","624.20","622.95","622.28","1,95,72,140","12,17,92,66,716.90","3,75,931","1,06,33,301","54.33"
"SBIN","EQ","30-Jan-2024","622.95","625.45","633.50","624.20","625.50","626.75","628.36","1,69,66,577","10,66,11,20,748.15","3,40,803","66,29,436","39.07"
"SBIN","EQ","31-Jan-2024","626.75","626.40","643.20","622.00","641.55","640.50","634.65","2,32,70,745","14,76,87,84,599.55","3,31,696","87,73,593","37.70"
"SBIN","EQ","01-Feb-2024","640.50","642.75","652.95","633.25","648.50","647.65","644.85","2,65,87,707","17,14,50,97,528.60","3,41,287","88,70,846","33.36"
"SBIN","EQ","02-Feb-2024","647.65","652.00","660.55","646.70","648.00","649.65","653.81","2,74,71,811","17,96,12,31,828.75","3,62,306","97,52,154","35.50"
"SBIN","EQ","05-Feb-2024","649.65","647.10","654.80","638.75","643.00","642.95","646.89","2,83,39,525","18,33,25,81,475.65","3,48,687","98,95,120","34.92"
"SBIN","EQ","06-Feb-2024","642.95","644.45","655.00","637.70","654.80","650.25","644.26","1,40,79,390","9,07,07,37,392.70","2,30,842","45,25,485","32.14"
"SBIN","EQ","07-Feb-2024","650.25","655.05","677.95","655.00","677.50","675.25","669.94","4,16,96,232","27,93,40,60,703.15","7,97,692","1,64,05,107","39.34"
"SBIN","EQ","08-Feb-2024","675.25","680.40","718.90","678.50","699.80","699.55","700.87","7,42,22,434","52,02,06,33,464.10","9,78,644","3,17,13,090","42.73"
"SBIN","EQ","09-Feb-2024","699.55","703.65","728.35","694.20","725.45","725.25","711.47","4,32,35,061","30,76,02,44,551.05","7,57,763","1,67,93,764","38.84"
"SBIN","EQ","12-Feb-2024","725.25","726.00","726.00","704.50","707.00","707.90","713.27","2,28,73,137","16,31,48,27,822.60","5,73,623","86,70,324","37.91"
"SBIN","EQ","13-Feb-2024","707.90","708.55","718.00","702.15","711.35","713.45","711.68","2,33,51,472","16,61,86,87,259.40","3,64,739","66,98,293","28.68"
"SBIN","EQ","14-Feb-2024","713.45","705.55","748.50","705.55","743.00","743.40","730.54","3,67,82,182","26,87,09,28,805.05","4,93,455","1,21,56,464","33.05"
