"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"COALINDIA","EQ","01-Jan-2018","262.95","263.00","267.30","262.60","266.90","266.65","265.90","30,79,260","81,87,81,485.40","25,673","18,65,682","60.59"
"COALINDIA","EQ","02-Jan-2018","266.65","268.00","270.90","267.00","270.20","270.05","269.60","56,59,389","1,52,57,73,010.40","44,156","33,78,996","59.71"
"COALINDIA","EQ","03-Jan-2018","270.05","271.00","273.45","269.70","272.60","271.85","271.55","92,40,120","2,50,91,82,241.55","46,281","71,85,048","77.76"
"COALINDIA","EQ","04-Jan-2018","271.85","272.90","279.85","272.20","277.70","277.80","277.87","69,19,578","1,92,27,14,844.55","63,395","36,71,158","53.05"
"COALINDIA","EQ","05-Jan-2018","277.80","278.50","280.65","278.00","278.00","278.75","279.48","33,44,950","93,48,50,308.30","31,656","20,72,303","61.95"
"COALINDIA","EQ","08-Jan-2018","278.75","279.00","290.60","279.00","287.55","287.45","284.97","48,91,781","1,39,40,16,888.70","57,441","26,19,063","53.54"
"COALINDIA","EQ","09-Jan-2018","287.45","299.70","311.00","296.65","304.00","304.05","304.09","2,76,39,107","8,40,47,69,084.05","1,79,574","96,89,102","35.06"
"COALINDIA","EQ","10-Jan-2018","304.05","306.00","309.80","305.00","308.55","308.30","308.32","1,53,00,218","4,71,73,73,498.25","85,537","87,26,444","57.03"
"COALINDIA","EQ","11-Jan-2018","308.30","308.00","310.00","302.95","308.15","308.10","305.78","47,03,627","1,43,82,76,083.15","64,502","17,38,575","36.96"
"COALINDIA","EQ","12-Jan-2018","308.10","309.00","310.80","306.20","308.75","309.00","308.66","51,19,534","1,58,02,10,572.95","49,890","29,80,967","58.23"
"COALINDIA","EQ","15-Jan-2018","309.00","309.25","310.45","304.50","305.50","305.90","307.67","26,43,125","81,32,19,157.60","35,377","14,81,227","56.04"
"COALINDIA","EQ","16-Jan-2018","305.90","305.90","305.90","290.60","291.00","291.60","296.65","40,69,770","1,20,73,13,725.60","68,269","21,96,143","53.96"
"COALINDIA","EQ","17-Jan-2018","291.60","293.00","294.95","286.30","292.95","290.95","291.40","43,60,706","1,27,07,22,209.55","47,543","19,74,394","45.28"
"COALINDIA","EQ","18-Jan-2018","290.95","293.30","293.80","278.10","284.70","283.05","286.68","37,84,420","1,08,49,33,647.65","69,847","20,83,039","55.04"
"COALINDIA","EQ","19-Jan-2018","283.05","283.05","285.90","280.50","284.35","284.00","283.37","25,74,759","72,96,09,486.65","50,103","13,21,438","51.32"
"COALINDIA","EQ","22-Jan-2018","284.00","287.10","289.70","283.70","285.00","285.05","286.49","30,25,790","86,68,51,905.50","38,236","14,53,402","48.03"
"COALINDIA","EQ","23-Jan-2018","285.05","285.20","294.15","285.20","293.25","293.10","291.06","39,74,425","1,15,68,07,113.70","68,581","23,97,360","60.32"
"COALINDIA","EQ","24-Jan-2018","293.10","292.50","298.50","287.00","296.50","294.55","291.59","30,73,618","89,62,43,613.75","40,036","17,55,487","57.11"
"COALINDIA","EQ","25-Jan-2018","294.55","294.55","302.65","294.55","298.50","299.40","300.05","69,19,878","2,07,62,99,969.55","76,429","32,99,467","47.68"
"COALINDIA","EQ","29-Jan-2018","299.40","298.50","306.00","296.95","300.00","301.75","303.17","35,57,035","1,07,83,87,604.80","46,855","14,75,162","41.47"
"COALINDIA","EQ","30-Jan-2018","301.75","299.00","307.50","295.20","305.00","305.90","301.15","30,85,086","92,90,77,383.65","42,324","13,44,794","43.59"
"COALINDIA","EQ","31-Jan-2018","305.90","303.50","304.55","298.00","300.50","299.55","299.60","51,98,298","1,55,73,89,463.35","68,308","32,07,831","61.71"
"COALINDIA","EQ","01-Feb-2018","299.55","300.10","301.15","290.95","296.50","295.60","294.73","45,33,542","1,33,61,55,571.55","61,443","22,42,990","49.48"
"COALINDIA","EQ","02-Feb-2018","295.60","292.10","297.55","286.05","292.00","290.35","293.10","63,93,201","1,87,38,57,868.60","45,976","38,22,867","59.80"
"COALINDIA","EQ","05-Feb-2018","290.35","293.00","296.00","285.00","295.90","294.80","293.52","77,95,465","2,28,81,59,505.85","70,495","51,98,235","66.68"
"COALINDIA","EQ","06-Feb-2018","294.80","287.00","292.00","280.10","290.10","290.35","288.55","46,74,661","1,34,88,68,817.35","39,179","28,52,269","61.02"
"COALINDIA","EQ","07-Feb-2018","290.35","291.50","299.70","290.35","296.30","297.60","296.34","72,23,510","2,14,06,09,565.40","52,596","42,90,115","59.39"
"COALINDIA","EQ","08-Feb-2018","297.60","297.60","302.60","296.70","300.10","300.00","300.10","32,86,814","98,63,68,179.20","43,132","12,25,394","37.28"
"COALINDIA","EQ","09-Feb-2018","300.00","295.10","304.45","294.40","300.05","300.15","300.40","47,31,060","1,42,11,99,528.95","39,110","20,08,814","42.46"
"COALINDIA","EQ","12-Feb-2018","300.15","303.90","305.00","297.05","300.00","300.65","300.40","45,12,970","1,35,57,04,823.60","45,109","21,05,649","46.66"
"COALINDIA","EQ","14-Feb-2018","300.65","300.00","309.45","300.00","305.00","306.95","305.94","57,25,179","1,75,15,85,994.00","79,808","28,46,000","49.71"
"COALINDIA","EQ","15-Feb-2018","306.95","307.50","311.80","304.65","307.50","308.10","308.10","52,19,503","1,60,81,25,650.45","73,316","26,05,496","49.92"
"COALINDIA","EQ","16-Feb-2018","308.10","308.10","310.45","302.60","302.90","303.50","306.80","19,31,615","59,26,15,106.50","17,783","5,12,039","26.51"
"COALINDIA","EQ","19-Feb-2018","303.50","303.00","307.40","301.05","305.80","305.40","304.73","29,35,183","89,44,38,554.45","37,309","10,84,162","36.94"
"COALINDIA","EQ","20-Feb-2018","305.40","305.00","311.85","302.00","311.00","310.40","309.06","86,02,002","2,65,85,57,291.90","51,567","55,55,623","64.59"
"COALINDIA","EQ","21-Feb-2018","310.40","311.00","312.00","305.15","310.60","310.55","308.90","53,99,556","1,66,78,96,096.35","49,700","23,65,232","43.80"
"COALINDIA","EQ","22-Feb-2018","310.55","306.50","315.00","306.50","311.50","311.55","310.78","78,15,886","2,42,90,45,404.10","52,012","48,96,221","62.64"
"COALINDIA","EQ","23-Feb-2018","311.55","310.75","313.85","308.35","311.50","310.95","310.56","31,95,456","99,23,83,724.95","25,536","16,43,293","51.43"
"COALINDIA","EQ","26-Feb-2018","310.95","311.25","316.40","309.00","312.40","314.05","313.03","31,71,308","99,27,06,794.25","28,525","12,66,174","39.93"
"COALINDIA","EQ","27-Feb-2018","314.05","313.65","316.95","307.20","307.40","309.00","312.00","66,67,601","2,08,02,99,777.85","49,632","42,68,383","64.02"
"COALINDIA","EQ","28-Feb-2018","309.00","307.00","311.80","305.00","311.35","309.15","308.52","37,31,061","1,15,11,03,195.30","35,148","26,89,475","72.08"
"COALINDIA","EQ","01-Mar-2018","309.15","310.80","314.15","308.00","313.50","312.90","311.50","25,35,090","78,96,82,711.75","32,014","9,78,084","38.58"
"COALINDIA","EQ","05-Mar-2018","312.90","310.45","311.45","303.95","304.45","305.80","307.92","35,93,849","1,10,66,02,311.90","33,003","13,71,787","38.17"
"COALINDIA","EQ","06-Mar-2018","305.80","306.90","309.45","301.10","306.00","307.00","304.72","36,93,197","1,12,53,75,167.80","36,113","18,41,793","49.87"
"COALINDIA","EQ","07-Mar-2018","307.00","306.00","308.95","302.90","306.25","306.95","305.52","47,94,848","1,46,49,44,459.80","59,245","22,92,734","47.82"
"COALINDIA","EQ","08-Mar-2018","306.95","308.00","308.75","302.15","305.15","305.50","304.56","22,36,174","68,10,55,806.25","19,495","10,87,403","48.63"
"COALINDIA","EQ","09-Mar-2018","305.50","305.00","307.50","302.10","303.25","304.05","305.25","21,36,347","65,21,12,022.45","23,994","10,75,336","50.34"
"COALINDIA","EQ","12-Mar-2018","304.05","305.40","306.90","296.00","297.50","297.65","298.29","67,96,993","2,02,74,74,161.80","56,774","40,43,658","59.49"
"COALINDIA","EQ","13-Mar-2018","297.65","297.50","298.65","290.00","295.20","294.85","293.21","63,06,692","1,84,91,79,386.80","48,472","36,42,260","57.75"
"COALINDIA","EQ","14-Mar-2018","294.85","291.00","294.40","290.70","292.85","293.10","292.84","44,06,927","1,29,05,04,409.00","26,113","27,95,732","63.44"
"COALINDIA","EQ","15-Mar-2018","293.10","294.00","298.90","292.10","295.30","295.50","295.89","44,87,868","1,32,79,08,414.05","29,220","20,69,111","46.10"
"COALINDIA","EQ","16-Mar-2018","295.50","280.30","281.40","276.20","279.85","278.20","278.51","1,10,16,304","3,06,81,36,771.65","88,272","60,03,722","54.50"
"COALINDIA","EQ","19-Mar-2018","278.20","279.50","279.50","269.10","271.60","272.30","272.22","35,88,096","97,67,42,444.10","33,292","10,63,289","29.63"
"COALINDIA","EQ","20-Mar-2018","272.30","269.10","273.30","268.35","270.00","270.25","271.02","18,04,554","48,90,72,726.25","28,695","7,67,798","42.55"
"COALINDIA","EQ","21-Mar-2018","270.25","270.90","272.55","269.05","271.15","270.90","270.43","27,39,537","74,08,46,655.05","30,695","14,99,577","54.74"
"COALINDIA","EQ","22-Mar-2018","270.90","270.00","273.45","268.00","269.05","269.40","270.23","33,83,841","91,44,21,145.45","42,968","20,45,985","60.46"
"COALINDIA","EQ","23-Mar-2018","269.40","266.65","271.80","265.00","270.55","269.95","269.56","39,80,861","1,07,30,61,869.05","60,054","21,54,491","54.12"
"COALINDIA","EQ","26-Mar-2018","269.95","270.00","274.50","268.05","274.10","273.45","271.61","22,77,261","61,85,37,672.85","37,236","10,45,355","45.90"
"COALINDIA","EQ","27-Mar-2018","273.45","274.10","276.80","272.25","275.90","276.20","275.13","18,88,128","51,94,79,193.75","29,669","6,98,299","36.98"
"COALINDIA","EQ","28-Mar-2018","276.20","274.70","285.75","272.85","281.35","283.30","280.32","69,83,849","1,95,77,09,223.20","82,765","34,41,248","49.27"
"COALINDIA","EQ","02-Apr-2018","283.30","283.35","283.50","275.15","279.60","277.50","278.05","25,20,975","70,09,50,759.55","32,578","10,65,600","42.27"
"COALINDIA","EQ","03-Apr-2018","277.50","276.20","279.60","275.15","278.90","278.95","277.50","16,41,179","45,54,20,214.70","20,782","6,62,667","40.38"
"COALINDIA","EQ","04-Apr-2018","278.95","278.80","278.90","273.20","275.00","274.55","275.45","29,46,453","81,15,94,549.50","38,908","16,96,344","57.57"
"COALINDIA","EQ","05-Apr-2018","274.55","276.15","279.50","275.45","276.45","277.80","278.26","15,27,043","42,49,11,852.50","18,016","8,12,443","53.20"
"COALINDIA","EQ","06-Apr-2018","277.80","277.70","278.80","274.50","275.05","275.80","275.85","15,27,251","42,12,95,694.25","17,130","5,90,087","38.64"
"COALINDIA","EQ","09-Apr-2018","275.80","276.35","276.35","273.50","274.70","274.45","274.59","12,54,956","34,45,98,860.30","32,248","6,58,305","52.46"
"COALINDIA","EQ","10-Apr-2018","274.45","276.00","281.45","273.25","281.10","280.90","279.00","23,51,145","65,59,72,401.05","44,446","8,81,692","37.50"
"COALINDIA","EQ","11-Apr-2018","280.90","283.65","285.35","278.05","282.05","283.40","281.96","29,97,141","84,50,73,367.40","36,682","8,22,739","27.45"
"COALINDIA","EQ","12-Apr-2018","283.40","281.55","282.75","279.10","281.20","281.50","280.93","13,42,136","37,70,44,313.35","30,120","6,60,932","49.24"
"COALINDIA","EQ","13-Apr-2018","281.50","282.50","285.50","280.00","284.80","285.00","283.80","18,36,917","52,13,14,939.95","37,723","8,50,140","46.28"
"COALINDIA","EQ","16-Apr-2018","285.00","284.60","286.80","283.35","285.75","286.10","285.75","12,22,199","34,92,37,576.00","20,697","4,29,312","35.13"
"COALINDIA","EQ","17-Apr-2018","286.10","286.25","290.40","285.45","286.20","287.60","288.40","29,99,531","86,50,51,133.35","33,078","15,48,689","51.63"
"COALINDIA","EQ","18-Apr-2018","287.60","287.00","288.45","282.90","285.35","285.10","285.46","14,33,406","40,91,74,114.50","84,582","9,02,515","62.96"
"COALINDIA","EQ","19-Apr-2018","285.10","285.25","287.25","281.70","283.25","283.20","284.20","23,32,176","66,27,98,416.95","33,320","15,45,773","66.28"
"COALINDIA","EQ","20-Apr-2018","283.20","283.25","294.95","282.45","291.35","292.05","288.69","24,36,310","70,33,48,992.05","51,452","8,31,948","34.15"
"COALINDIA","EQ","23-Apr-2018","292.05","292.00","292.00","288.60","290.95","289.80","289.96","11,81,306","34,25,33,954.15","27,625","3,27,960","27.76"
"COALINDIA","EQ","24-Apr-2018","289.80","289.00","293.95","287.15","290.35","290.50","290.94","18,29,965","53,24,18,699.00","22,976","6,99,280","38.21"
"COALINDIA","EQ","25-Apr-2018","290.50","290.10","293.80","287.75","291.10","290.95","290.71","16,12,503","46,87,63,460.80","38,804","6,74,630","41.84"
