"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HDFCBANK","EQ","20-Jan-2015","1,004.55","1,010.00","1,027.00","1,002.00","1,017.80","1,020.95","1,015.62","21,26,451","2,15,96,72,440.65","26,615","13,80,683","64.93"
"HDFCBANK","IL","21-Jan-2015","1,053.00","1,070.00","1,070.00","1,070.00","-","1,070.00","1,070.00","5,000","53,50,000.00","1","5,000","100.00"
"HDFCBANK","EQ","21-Jan-2015","1,020.95","1,027.40","1,032.95","1,018.35","1,020.00","1,019.95","1,025.11","16,85,153","1,72,74,66,769.25","27,044","11,29,383","67.02"
"HDFCBANK","EQ","22-Jan-2015","1,019.95","1,025.00","1,032.50","1,018.55","1,022.55","1,021.25","1,023.90","16,17,670","1,65,63,40,164.55","19,283","10,36,081","64.05"
"HDFCBANK","EQ","23-Jan-2015","1,021.25","1,030.00","1,048.00","1,024.40","1,042.00","1,042.80","1,042.17","24,96,978","2,60,22,79,882.25","31,128","16,75,377","67.10"
"HDFCBANK","EQ","27-Jan-2015","1,042.80","1,043.00","1,077.75","1,040.90","1,068.00","1,074.05","1,059.75","24,90,600","2,63,94,03,462.25","29,603","16,85,111","67.66"
"HDFCBANK","EQ","28-Jan-2015","1,074.05","1,070.00","1,093.20","1,055.00","1,059.00","1,058.35","1,070.38","28,41,235","3,04,12,05,642.90","42,669","17,42,620","61.33"
"HDFCBANK","EQ","29-Jan-2015","1,058.35","1,075.00","1,100.60","1,061.00","1,093.00","1,095.00","1,085.47","51,41,904","5,58,13,81,282.20","55,963","31,20,205","60.68"
"HDFCBANK","EQ","30-Jan-2015","1,095.00","1,094.55","1,094.55","1,064.25","1,081.05","1,077.35","1,076.43","26,42,604","2,84,45,71,343.45","50,681","14,95,064","56.58"
"HDFCBANK","EQ","02-Feb-2015","1,077.35","1,068.50","1,093.00","1,052.35","1,081.00","1,081.60","1,072.08","14,27,588","1,53,04,88,677.95","30,586","6,77,704","47.47"
"HDFCBANK","IL","03-Feb-2015","1,070.00","1,125.00","1,125.00","1,124.00","-","1,124.00","1,124.23","2,15,000","24,17,10,000.00","5","2,15,000","100.00"
"HDFCBANK","EQ","03-Feb-2015","1,081.60","1,078.50","1,082.20","1,055.30","1,057.75","1,064.10","1,066.32","25,50,172","2,71,93,07,744.30","39,375","12,02,216","47.14"
"HDFCBANK","IL","04-Feb-2015","1,124.00","1,128.00","1,129.00","1,128.00","-","1,128.00","1,128.19","1,03,297","11,65,39,016.00","4","1,03,297","100.00"
"HDFCBANK","EQ","04-Feb-2015","1,064.10","1,063.00","1,080.80","1,057.25","1,061.70","1,067.70","1,071.08","15,49,378","1,65,95,04,401.70","23,536","8,90,858","57.50"
"HDFCBANK","EQ","05-Feb-2015","1,067.70","1,075.00","1,092.80","1,070.35","1,075.40","1,076.50","1,082.44","20,14,787","2,18,08,88,487.90","36,948","8,58,013","42.59"
"HDFCBANK","EQ","06-Feb-2015","1,076.50","1,077.00","1,078.95","1,050.05","1,051.05","1,053.50","1,061.19","17,25,780","1,83,13,81,602.20","32,505","10,02,620","58.10"
"HDFCBANK","IL","09-Feb-2015","1,128.00","1,151.40","1,151.40","1,146.00","-","1,146.00","1,148.75","98,309","11,29,32,114.00","2","98,309","100.00"
"HDFCBANK","EQ","09-Feb-2015","1,053.50","1,047.00","1,051.75","1,034.50","1,036.80","1,040.10","1,040.20","13,07,974","1,36,05,55,437.60","29,862","6,23,610","47.68"
"HDFCBANK","EQ","10-Feb-2015","1,040.10","1,030.00","1,062.30","1,030.00","1,055.80","1,054.45","1,051.31","23,18,938","2,43,79,26,629.55","44,380","11,57,703","49.92"
"HDFCBANK","EQ","11-Feb-2015","1,054.45","1,058.00","1,064.80","1,053.00","1,056.70","1,058.40","1,059.33","10,40,397","1,10,21,22,137.55","20,702","4,69,319","45.11"
"HDFCBANK","EQ","12-Feb-2015","1,058.40","1,065.10","1,081.90","1,052.70","1,074.40","1,076.00","1,064.91","13,81,435","1,47,11,01,288.10","28,509","7,06,926","51.17"
"HDFCBANK","EQ","13-Feb-2015","1,076.00","1,081.20","1,082.00","1,063.60","1,065.95","1,065.80","1,069.71","19,28,625","2,06,30,77,807.25","28,449","12,42,920","64.45"
"HDFCBANK","EQ","16-Feb-2015","1,065.80","1,075.80","1,085.00","1,062.50","1,063.70","1,067.55","1,075.64","18,47,179","1,98,68,94,446.80","30,671","8,85,253","47.92"
"HDFCBANK","EQ","18-Feb-2015","1,067.55","1,067.55","1,082.95","1,057.05","1,076.00","1,074.80","1,075.22","13,45,423","1,44,66,30,079.00","22,506","6,49,674","48.29"
"HDFCBANK","EQ","19-Feb-2015","1,074.80","1,074.00","1,084.90","1,063.80","1,082.00","1,079.80","1,075.15","11,26,751","1,21,14,28,813.00","20,223","4,31,042","38.26"
"HDFCBANK","IL","19-Feb-2015","1,146.00","1,184.05","1,184.05","1,184.05","-","1,184.05","1,184.05","2,245","26,58,192.25","1","2,245","100.00"
"HDFCBANK","EQ","20-Feb-2015","1,079.80","1,083.00","1,089.90","1,068.50","1,070.80","1,073.05","1,079.11","15,51,506","1,67,42,44,277.95","24,813","6,95,491","44.83"
"HDFCBANK","EQ","23-Feb-2015","1,073.05","1,077.10","1,081.55","1,062.00","1,063.10","1,067.50","1,071.86","13,95,391","1,49,56,68,541.85","21,262","7,53,729","54.02"
"HDFCBANK","EQ","24-Feb-2015","1,067.50","1,070.30","1,071.00","1,057.10","1,068.00","1,067.65","1,064.97","14,61,572","1,55,65,24,805.15","23,587","7,24,250","49.55"
"HDFCBANK","EQ","25-Feb-2015","1,067.65","1,070.00","1,074.80","1,050.00","1,051.00","1,052.45","1,063.52","11,62,131","1,23,59,52,177.05","20,975","6,27,845","54.03"
"HDFCBANK","EQ","26-Feb-2015","1,052.45","1,053.65","1,056.00","1,035.10","1,039.60","1,038.15","1,041.56","31,06,736","3,23,58,55,710.55","29,375","17,27,725","55.61"
"HDFCBANK","EQ","27-Feb-2015","1,038.15","1,045.45","1,058.55","1,045.45","1,054.40","1,054.00","1,053.95","25,65,446","2,70,38,58,233.70","31,892","17,67,026","68.88"
"HDFCBANK","EQ","28-Feb-2015","1,054.00","1,063.00","1,076.80","1,044.15","1,076.15","1,071.20","1,060.44","28,95,345","3,07,03,26,664.40","35,365","14,72,341","50.85"
"HDFCBANK","EQ","02-Mar-2015","1,071.20","1,080.35","1,099.00","1,068.00","1,081.00","1,082.55","1,087.72","35,96,308","3,91,17,71,721.75","41,596","20,44,851","56.86"
"HDFCBANK","EQ","03-Mar-2015","1,082.55","1,086.45","1,092.00","1,077.05","1,081.20","1,083.35","1,085.82","15,07,337","1,63,66,94,821.00","29,564","9,50,545","63.06"
"HDFCBANK","IL","04-Mar-2015","1,184.05","1,240.00","1,240.00","1,227.00","-","1,227.00","1,233.10","3,63,561","44,83,07,498.00","9","3,61,361","99.39"
"HDFCBANK","EQ","04-Mar-2015","1,083.35","1,105.00","1,109.30","1,060.00","1,067.20","1,065.30","1,085.88","30,69,406","3,33,30,19,126.10","38,654","16,49,709","53.75"
"HDFCBANK","EQ","05-Mar-2015","1,065.30","1,065.00","1,090.00","1,062.50","1,086.60","1,085.10","1,076.04","24,25,613","2,61,00,62,047.05","31,617","14,89,245","61.40"
"HDFCBANK","IL","09-Mar-2015","1,227.00","1,220.00","1,220.00","1,220.00","-","1,220.00","1,220.00","46,750","5,70,35,000.00","3","46,750","100.00"
"HDFCBANK","EQ","09-Mar-2015","1,085.10","1,077.05","1,081.80","1,056.00","1,058.00","1,059.00","1,063.78","14,38,952","1,53,07,30,024.25","24,187","7,55,252","52.49"
"HDFCBANK","EQ","10-Mar-2015","1,059.00","1,062.00","1,062.25","1,045.00","1,051.95","1,052.55","1,053.90","12,83,709","1,35,28,94,757.10","20,764","7,08,041","55.16"
"HDFCBANK","IL","10-Mar-2015","1,220.00","1,220.00","1,220.00","1,220.00","-","1,220.00","1,220.00","50,000","6,10,00,000.00","4","50,000","100.00"
"HDFCBANK","EQ","11-Mar-2015","1,052.55","1,050.90","1,061.90","1,050.00","1,055.90","1,056.45","1,055.60","13,66,384","1,44,23,54,769.05","29,660","7,63,835","55.90"
"HDFCBANK","EQ","12-Mar-2015","1,056.45","1,060.10","1,063.90","1,051.10","1,054.00","1,054.60","1,054.83","18,82,709","1,98,59,32,247.00","31,522","14,50,091","77.02"
"HDFCBANK","EQ","13-Mar-2015","1,054.60","1,060.00","1,064.00","1,034.60","1,045.55","1,042.65","1,043.51","13,56,695","1,41,57,22,429.35","26,161","8,20,661","60.49"
"HDFCBANK","IL","16-Mar-2015","1,220.00","1,220.00","1,220.00","1,220.00","-","1,220.00","1,220.00","13,000","1,58,60,000.00","3","13,000","100.00"
"HDFCBANK","EQ","16-Mar-2015","1,042.65","1,045.00","1,057.90","1,042.50","1,053.05","1,051.55","1,052.40","13,37,193","1,40,72,57,712.45","20,657","7,92,838","59.29"
"HDFCBANK","EQ","17-Mar-2015","1,051.55","1,060.00","1,065.90","1,042.85","1,056.55","1,058.05","1,055.47","13,42,326","1,41,67,86,566.25","27,749","6,73,862","50.20"
"HDFCBANK","EQ","18-Mar-2015","1,058.05","1,060.15","1,071.90","1,053.20","1,064.00","1,063.55","1,063.39","12,87,083","1,36,86,66,477.45","22,633","7,15,353","55.58"
"HDFCBANK","IL","18-Mar-2015","1,220.00","1,254.00","1,263.00","1,105.00","-","1,263.00","1,258.78","4,50,005","56,64,55,525.00","10","4,50,005","100.00"
"HDFCBANK","IL","19-Mar-2015","1,263.00","1,150.00","1,263.00","1,150.00","-","1,263.00","1,262.96","15,005","1,89,50,750.00","2","15,005","100.00"
"HDFCBANK","EQ","19-Mar-2015","1,063.55","1,071.00","1,073.80","1,048.70","1,051.20","1,052.20","1,060.44","13,43,393","1,42,45,86,856.95","24,573","8,03,284","59.80"
"HDFCBANK","EQ","20-Mar-2015","1,052.20","1,051.00","1,059.50","1,045.95","1,056.90","1,055.90","1,053.67","16,20,809","1,70,77,97,795.70","25,256","11,02,458","68.02"
"HDFCBANK","IL","23-Mar-2015","1,263.00","1,160.00","1,160.00","1,160.00","-","1,160.00","1,160.00","45","52,200.00","1","45","100.00"
"HDFCBANK","EQ","23-Mar-2015","1,055.90","1,055.95","1,059.40","1,046.00","1,048.75","1,047.75","1,053.83","13,61,685","1,43,49,80,116.60","21,332","8,92,082","65.51"
"HDFCBANK","EQ","24-Mar-2015","1,047.75","1,043.30","1,057.00","1,035.45","1,037.95","1,037.95","1,046.07","22,43,391","2,34,67,55,157.95","34,910","14,83,641","66.13"
"HDFCBANK","EQ","25-Mar-2015","1,037.95","1,040.05","1,046.70","1,031.10","1,032.65","1,034.25","1,038.21","26,52,225","2,75,35,72,212.80","31,942","21,89,142","82.54"
"HDFCBANK","EQ","26-Mar-2015","1,034.25","1,026.90","1,032.20","1,002.10","1,017.90","1,006.95","1,011.46","89,50,155","9,05,27,58,361.50","86,599","63,77,027","71.25"
"HDFCBANK","IL","26-Mar-2015","1,160.00","1,150.00","1,150.00","1,150.00","-","1,150.00","1,150.00","25","28,750.00","3","25","100.00"
"HDFCBANK","IL","27-Mar-2015","1,150.00","1,190.00","1,190.00","1,160.00","-","1,160.00","1,189.99","50,010","5,95,11,600.00","2","50,010","100.00"
"HDFCBANK","EQ","27-Mar-2015","1,006.95","1,014.95","1,023.55","1,008.10","1,015.95","1,014.65","1,016.24","27,10,224","2,75,42,43,869.70","44,925","15,88,761","58.62"
"HDFCBANK","IL","30-Mar-2015","1,160.00","1,166.00","1,166.00","1,166.00","-","1,166.00","1,166.00","6","6,996.00","1","6","100.00"
"HDFCBANK","EQ","30-Mar-2015","1,014.65","1,020.00","1,039.00","1,012.80","1,038.50","1,036.90","1,027.99","17,38,786","1,78,74,50,464.80","58,536","10,73,336","61.73"
"HDFCBANK","EQ","31-Mar-2015","1,036.90","1,039.90","1,039.90","1,014.85","1,022.55","1,022.70","1,027.60","14,90,564","1,53,17,05,975.80","21,635","8,63,654","57.94"
"HDFCBANK","EQ","01-Apr-2015","1,022.70","1,026.10","1,036.85","1,013.00","1,033.90","1,033.25","1,026.17","9,61,049","98,61,95,242.50","15,060","5,31,880","55.34"
"HDFCBANK","EQ","06-Apr-2015","1,033.25","1,035.00","1,036.85","1,019.80","1,030.10","1,031.95","1,029.40","17,87,793","1,84,03,60,651.30","36,020","11,89,699","66.55"
"HDFCBANK","EQ","07-Apr-2015","1,031.95","1,033.25","1,038.20","1,023.65","1,037.25","1,032.75","1,030.58","15,49,268","1,59,66,37,016.15","25,474","9,07,202","58.56"
"HDFCBANK","EQ","08-Apr-2015","1,032.75","1,040.05","1,042.45","1,030.05","1,036.00","1,035.55","1,036.95","10,26,536","1,06,44,70,461.30","18,921","5,77,294","56.24"
"HDFCBANK","EQ","09-Apr-2015","1,035.55","1,038.25","1,059.00","1,030.00","1,054.90","1,056.10","1,047.43","17,50,696","1,83,37,36,929.30","39,447","9,78,800","55.91"
"HDFCBANK","EQ","10-Apr-2015","1,056.10","1,053.00","1,053.00","1,034.85","1,041.20","1,042.65","1,042.24","15,29,831","1,59,44,50,592.35","33,713","8,46,999","55.37"
"HDFCBANK","EQ","13-Apr-2015","1,042.65","1,040.00","1,046.30","1,034.80","1,039.00","1,038.80","1,040.46","11,40,809","1,18,69,69,533.25","25,972","6,85,583","60.10"
"HDFCBANK","EQ","15-Apr-2015","1,038.80","1,040.00","1,048.70","1,025.20","1,027.00","1,031.65","1,038.26","12,23,499","1,27,03,08,561.30","24,527","7,43,838","60.80"
"HDFCBANK","EQ","16-Apr-2015","1,031.65","1,028.00","1,033.55","1,018.00","1,026.60","1,029.65","1,026.56","14,02,530","1,43,97,79,554.70","25,694","8,43,481","60.14"
"HDFCBANK","EQ","17-Apr-2015","1,029.65","1,025.10","1,027.85","1,016.05","1,018.90","1,018.25","1,020.11","10,12,253","1,03,26,14,283.20","33,117","6,26,038","61.85"
"HDFCBANK","EQ","20-Apr-2015","1,018.25","1,020.00","1,025.00","1,002.60","1,008.65","1,005.10","1,013.49","12,97,220","1,31,47,19,415.50","22,147","8,05,517","62.10"
"HDFCBANK","IL","21-Apr-2015","1,166.00","1,162.50","1,162.50","1,162.50","-","1,162.50","1,162.50","4,00,000","46,50,00,000.00","5","4,00,000","100.00"
"HDFCBANK","EQ","21-Apr-2015","1,005.10","1,005.00","1,014.40","995.60","1,003.00","1,003.00","1,005.86","16,27,686","1,63,72,19,018.95","38,266","9,60,054","58.98"
"HDFCBANK","EQ","22-Apr-2015","1,003.00","1,006.50","1,021.00","993.50","1,014.85","1,013.10","1,007.45","16,91,484","1,70,40,89,608.45","47,703","9,21,349","54.47"
"HDFCBANK","EQ","23-Apr-2015","1,013.10","1,020.05","1,024.20","1,006.10","1,011.85","1,013.50","1,015.83","24,06,957","2,44,50,68,183.75","60,245","7,84,494","32.59"
"HDFCBANK","EQ","24-Apr-2015","1,013.50","1,018.90","1,019.00","1,000.35","1,009.05","1,006.45","1,009.89","18,01,311","1,81,91,27,000.55","34,252","8,30,249","46.09"
"HDFCBANK","EQ","27-Apr-2015","1,006.45","1,006.95","1,012.50","996.00","1,002.00","1,005.45","1,003.24","18,42,676","1,84,86,48,546.25","32,124","11,50,418","62.43"
"HDFCBANK","EQ","28-Apr-2015","1,005.45","999.55","1,011.45","990.10","1,001.50","1,004.55","999.14","19,85,527","1,98,38,15,688.15","36,555","11,02,900","55.55"
"HDFCBANK","EQ","29-Apr-2015","1,004.55","1,004.00","1,009.50","988.00","992.90","993.15","996.24","19,65,891","1,95,85,03,992.75","39,412","8,27,181","42.08"
"HDFCBANK","EQ","30-Apr-2015","993.15","991.00","995.00","979.05","992.00","988.80","986.66","37,85,921","3,73,54,22,631.25","40,830","26,82,520","70.86"
"HDFCBANK","EQ","04-May-2015","988.80","994.05","1,009.50","992.00","1,001.10","1,000.95","1,002.47","7,85,362","78,73,05,501.00","18,912","3,49,245","44.47"
"HDFCBANK","EQ","05-May-2015","1,000.95","999.05","1,003.90","985.85","986.90","987.65","992.19","12,84,501","1,27,44,71,686.20","30,698","5,32,040","41.42"
"HDFCBANK","EQ","06-May-2015","987.65","987.50","987.50","965.50","967.55","970.60","974.11","27,51,924","2,68,06,73,413.45","46,997","17,56,656","63.83"
"HDFCBANK","EQ","07-May-2015","970.60","968.00","970.00","944.20","950.00","951.30","958.44","29,34,166","2,81,22,29,110.85","66,982","17,57,456","59.90"
"HDFCBANK","EQ","08-May-2015","951.30","961.50","987.80","955.40","978.35","982.00","971.00","28,92,983","2,80,90,77,622.15","45,636","19,44,418","67.21"
"HDFCBANK","EQ","11-May-2015","982.00","986.05","992.75","974.05","990.10","990.30","984.91","16,82,836","1,65,74,47,924.30","26,463","9,54,745","56.73"
"HDFCBANK","EQ","12-May-2015","990.30","990.00","990.00","967.00","972.00","971.95","972.37","27,76,892","2,70,01,65,121.65","47,942","18,52,706","66.72"
"HDFCBANK","EQ","13-May-2015","971.95","975.85","993.40","971.60","991.25","990.25","982.95","19,47,962","1,91,47,47,873.85","45,451","10,26,617","52.70"
"HDFCBANK","EQ","14-May-2015","990.25","989.00","994.85","974.00","992.50","991.05","983.96","11,13,797","1,09,59,35,308.55","21,901","4,42,271","39.71"
"HDFCBANK","EQ","15-May-2015","991.05","994.90","997.55","984.20","990.90","990.10","990.14","20,38,406","2,01,82,98,576.25","31,009","12,00,040","58.87"
"HDFCBANK","EQ","18-May-2015","990.10","996.00","1,012.00","992.00","1,007.15","1,009.85","1,002.19","14,28,326","1,43,14,49,441.60","24,176","7,90,102","55.32"
"HDFCBANK","EQ","19-May-2015","1,009.85","1,006.35","1,018.00","998.10","1,007.25","1,007.55","1,008.32","11,96,587","1,20,65,40,822.25","20,371","5,77,651","48.27"
"HDFCBANK","EQ","20-May-2015","1,007.55","1,009.65","1,026.80","1,009.55","1,021.00","1,024.05","1,021.44","10,02,210","1,02,37,01,021.90","24,518","5,29,458","52.83"
"HDFCBANK","EQ","21-May-2015","1,024.05","1,024.00","1,030.00","1,015.10","1,022.70","1,024.70","1,022.89","9,83,595","1,00,61,05,011.55","25,197","5,30,378","53.92"
"HDFCBANK","EQ","22-May-2015","1,024.70","1,024.70","1,029.00","1,018.35","1,024.00","1,024.30","1,024.45","11,72,384","1,20,10,48,868.65","32,923","6,67,681","56.95"
"HDFCBANK","EQ","25-May-2015","1,024.30","1,028.40","1,031.00","1,017.60","1,024.60","1,023.55","1,025.23","10,92,265","1,11,98,21,397.75","23,709","4,41,790","40.45"
"HDFCBANK","EQ","26-May-2015","1,023.55","1,024.45","1,030.20","1,018.05","1,028.50","1,027.40","1,023.85","12,26,586","1,25,58,43,227.45","22,622","7,03,822","57.38"
"HDFCBANK","EQ","27-May-2015","1,027.40","1,023.80","1,040.00","1,021.40","1,037.05","1,038.15","1,032.62","8,04,648","83,08,96,916.30","21,938","4,28,587","53.26"
"HDFCBANK","EQ","28-May-2015","1,038.15","1,039.05","1,043.70","1,022.20","1,028.75","1,029.40","1,029.66","23,90,290","2,46,11,97,768.25","24,791","15,72,767","65.80"
"HDFCBANK","EQ","29-May-2015","1,029.40","1,029.95","1,054.00","1,027.15","1,049.25","1,050.55","1,043.34","12,64,670","1,31,94,77,906.45","26,552","7,57,062","59.86"
"HDFCBANK","EQ","01-Jun-2015","1,050.55","1,048.95","1,056.00","1,031.00","1,035.20","1,036.20","1,045.89","9,60,330","1,00,43,95,899.35","19,082","6,44,102","67.07"
"HDFCBANK","EQ","02-Jun-2015","1,036.20","1,038.40","1,040.30","1,004.90","1,007.05","1,008.80","1,021.61","11,81,502","1,20,70,36,346.85","26,049","5,45,278","46.15"
"HDFCBANK","EQ","03-Jun-2015","1,008.80","1,009.00","1,017.00","998.00","1,010.05","1,005.55","1,008.77","14,56,208","1,46,89,83,652.40","25,035","7,92,917","54.45"
"HDFCBANK","EQ","04-Jun-2015","1,005.55","1,008.85","1,017.85","995.00","1,016.60","1,014.95","1,007.27","13,89,397","1,39,94,93,094.00","40,215","8,10,357","58.32"
"HDFCBANK","EQ","05-Jun-2015","1,014.95","1,010.25","1,018.50","1,002.50","1,009.50","1,011.75","1,011.46","16,88,465","1,70,78,21,430.75","40,411","11,90,906","70.53"
"HDFCBANK","EQ","08-Jun-2015","1,011.75","1,004.25","1,012.25","995.55","1,002.50","1,003.45","1,003.15","9,52,999","95,59,96,547.30","18,043","5,19,674","54.53"
"HDFCBANK","EQ","09-Jun-2015","1,003.45","1,005.00","1,006.00","997.10","1,000.00","1,001.85","1,002.27","15,10,065","1,51,35,00,368.00","28,365","9,18,973","60.86"
"HDFCBANK","EQ","10-Jun-2015","1,001.85","998.00","1,019.00","997.00","1,014.00","1,015.60","1,012.42","19,96,562","2,02,13,67,277.35","41,128","14,10,640","70.65"
"HDFCBANK","EQ","11-Jun-2015","1,015.60","1,017.60","1,018.55","994.70","995.80","1,000.20","1,006.70","22,73,544","2,28,87,71,487.30","38,958","16,47,007","72.44"
"HDFCBANK","EQ","12-Jun-2015","1,000.20","1,001.00","1,010.85","990.15","1,006.95","1,009.15","1,000.81","16,32,086","1,63,34,12,350.55","34,023","10,84,012","66.42"
"HDFCBANK","EQ","15-Jun-2015","1,009.15","1,002.00","1,013.75","1,000.00","1,000.00","1,005.20","1,006.13","14,99,957","1,50,91,52,615.70","20,096","10,73,233","71.55"
"HDFCBANK","EQ","16-Jun-2015","1,005.20","1,000.00","1,010.45","997.05","1,008.05","1,008.40","1,002.16","15,02,631","1,50,58,76,564.90","22,539","10,79,516","71.84"
"HDFCBANK","EQ","17-Jun-2015","1,008.40","1,009.00","1,013.50","999.50","1,004.50","1,004.70","1,005.70","24,21,567","2,43,53,81,757.95","49,260","17,75,904","73.34"
"HDFCBANK","EQ","18-Jun-2015","1,004.70","1,005.90","1,023.80","1,002.25","1,018.80","1,019.60","1,018.48","21,07,929","2,14,68,91,656.00","41,886","13,42,813","63.70"
"HDFCBANK","EQ","19-Jun-2015","1,019.60","1,024.80","1,034.95","1,013.15","1,032.15","1,030.50","1,021.94","9,35,581","95,61,09,701.50","16,268","4,07,189","43.52"
"HDFCBANK","EQ","22-Jun-2015","1,030.50","1,032.10","1,056.90","1,028.50","1,046.65","1,047.15","1,050.32","13,62,413","1,43,09,65,880.60","24,322","7,97,607","58.54"
"HDFCBANK","EQ","23-Jun-2015","1,047.15","1,052.00","1,061.20","1,042.50","1,052.50","1,052.10","1,054.74","14,13,795","1,49,11,87,127.95","23,975","9,20,491","65.11"
"HDFCBANK","EQ","24-Jun-2015","1,052.10","1,054.00","1,057.80","1,042.70","1,044.20","1,045.80","1,048.31","15,66,849","1,64,25,45,283.70","23,747","11,42,835","72.94"
"HDFCBANK","EQ","25-Jun-2015","1,045.80","1,048.25","1,070.85","1,042.65","1,069.00","1,065.00","1,058.33","41,43,392","4,38,50,59,343.20","38,945","32,65,758","78.82"
"HDFCBANK","EQ","26-Jun-2015","1,065.00","1,067.00","1,070.95","1,051.50","1,061.70","1,062.85","1,059.45","14,11,876","1,49,58,11,521.30","32,255","8,64,083","61.20"
"HDFCBANK","IL","26-Jun-2015","1,162.50","1,218.00","1,218.00","1,218.00","-","1,218.00","1,218.00","50,000","6,09,00,000.00","2","50,000","100.00"
"HDFCBANK","EQ","29-Jun-2015","1,062.85","1,044.90","1,061.75","1,030.50","1,055.50","1,056.65","1,043.33","16,21,959","1,69,22,35,828.10","30,373","8,37,693","51.65"
"HDFCBANK","EQ","30-Jun-2015","1,056.65","1,052.25","1,072.00","1,048.00","1,065.90","1,067.15","1,058.31","18,22,534","1,92,88,07,589.70","30,387","12,35,445","67.79"
"HDFCBANK","EQ","01-Jul-2015","1,067.15","1,061.35","1,077.00","1,060.05","1,071.50","1,072.35","1,072.41","12,42,797","1,33,27,88,696.55","53,256","7,52,276","60.53"
"HDFCBANK","EQ","02-Jul-2015","1,072.35","1,065.00","1,067.70","1,055.65","1,058.50","1,058.20","1,060.89","11,20,861","1,18,91,08,919.20","32,478","6,19,292","55.25"
"HDFCBANK","EQ","03-Jul-2015","1,058.20","1,054.05","1,076.15","1,054.05","1,076.00","1,074.25","1,069.15","10,09,822","1,07,96,48,361.75","22,987","4,35,705","43.15"
"HDFCBANK","IL","03-Jul-2015","1,218.00","1,256.00","1,258.00","1,253.00","-","1,258.00","1,256.37","5,63,205","70,75,95,865.00","52","5,63,205","100.00"
"HDFCBANK","EQ","06-Jul-2015","1,074.25","1,064.05","1,085.00","1,060.25","1,083.45","1,083.50","1,073.31","8,16,945","87,68,31,689.30","20,053","3,07,071","37.59"
"HDFCBANK","EQ","07-Jul-2015","1,083.50","1,078.50","1,091.50","1,078.50","1,085.00","1,086.85","1,085.86","10,35,368","1,12,42,65,238.85","23,325","5,52,584","53.37"
"HDFCBANK","IL","08-Jul-2015","1,258.00","1,255.00","1,257.00","1,255.00","-","1,257.00","1,256.01","1,18,28,641","14,85,69,44,455.00","159","1,18,28,641","100.00"
"HDFCBANK","EQ","08-Jul-2015","1,086.85","1,079.10","1,080.60","1,066.00","1,067.30","1,068.85","1,072.71","13,50,169","1,44,83,37,073.10","26,057","6,84,610","50.71"
"HDFCBANK","EQ","09-Jul-2015","1,068.85","1,062.70","1,076.90","1,060.10","1,073.90","1,074.05","1,069.57","6,99,491","74,81,55,739.05","24,198","3,30,788","47.29"
"HDFCBANK","EQ","10-Jul-2015","1,074.05","1,069.80","1,095.00","1,068.50","1,089.00","1,090.75","1,085.73","12,25,022","1,33,00,48,515.60","21,668","5,92,202","48.34"
"HDFCBANK","IL","10-Jul-2015","1,257.00","1,270.00","1,270.00","1,270.00","-","1,270.00","1,270.00","3,50,000","44,45,00,000.00","67","3,50,000","100.00"
"HDFCBANK","EQ","13-Jul-2015","1,090.75","1,085.00","1,105.90","1,085.00","1,095.15","1,096.15","1,096.31","17,69,021","1,93,94,01,022.10","26,016","11,08,367","62.65"
"HDFCBANK","EQ","14-Jul-2015","1,096.15","1,095.50","1,101.90","1,086.00","1,088.50","1,091.85","1,093.57","14,18,529","1,55,12,56,071.15","18,506","6,20,224","43.72"
"HDFCBANK","EQ","15-Jul-2015","1,091.85","1,093.00","1,101.45","1,090.80","1,096.00","1,096.70","1,097.42","9,62,351","1,05,61,03,663.50","15,083","5,42,265","56.35"
"HDFCBANK","EQ","16-Jul-2015","1,096.70","1,098.80","1,119.00","1,098.10","1,116.10","1,114.70","1,110.59","18,27,606","2,02,97,13,889.20","32,141","10,36,432","56.71"
"HDFCBANK","EQ","17-Jul-2015","1,114.70","1,119.40","1,121.75","1,105.60","1,113.55","1,110.55","1,111.09","8,77,747","97,52,57,407.95","16,897","4,75,549","54.18"
"HDFCBANK","EQ","20-Jul-2015","1,110.55","1,115.95","1,119.00","1,107.00","1,115.00","1,115.25","1,112.51","11,37,817","1,26,58,27,326.90","15,139","7,18,055","63.11"
"HDFCBANK","EQ","21-Jul-2015","1,115.25","1,116.55","1,128.00","1,093.10","1,094.90","1,098.05","1,111.98","27,57,034","3,06,57,53,642.05","59,016","9,59,490","34.80"
"HDFCBANK","EQ","22-Jul-2015","1,098.05","1,096.40","1,117.05","1,088.65","1,113.50","1,114.40","1,109.12","18,21,600","2,02,03,80,531.25","29,751","11,65,326","63.97"
"HDFCBANK","IL","23-Jul-2015","1,270.00","1,260.00","1,260.00","1,260.00","-","1,260.00","1,260.00","20,000","2,52,00,000.00","1","20,000","100.00"
"HDFCBANK","EQ","23-Jul-2015","1,114.40","1,112.90","1,116.70","1,100.10","1,107.90","1,107.90","1,109.14","12,70,793","1,40,94,93,448.25","29,967","6,90,233","54.32"
