"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"APOLLOHOSP","EQ","18-Jan-2019","1,352.95","1,350.00","1,372.90","1,335.05","1,362.00","1,366.30","1,356.14","7,02,678","95,29,26,319.50","57,504","2,78,201","39.59"
"APOLLOHOSP","EQ","21-Jan-2019","1,366.30","1,366.30","1,387.25","1,315.55","1,316.30","1,326.05","1,363.52","12,93,001","1,76,30,27,868.95","81,440","7,06,609","54.65"
"APOLLOHOSP","EQ","22-Jan-2019","1,326.05","1,316.10","1,323.00","1,288.50","1,289.05","1,293.80","1,303.09","11,00,328","1,43,38,24,095.20","42,049","5,58,459","50.75"
"APOLLOHOSP","EQ","23-Jan-2019","1,293.80","1,296.90","1,317.00","1,284.05","1,296.80","1,293.85","1,300.80","6,71,259","87,31,77,004.15","30,747","2,48,766","37.06"
"APOLLOHOSP","EQ","24-Jan-2019","1,293.85","1,310.00","1,339.75","1,294.20","1,317.50","1,314.65","1,317.75","8,31,256","1,09,53,85,952.95","36,186","3,06,847","36.91"
"APOLLOHOSP","EQ","25-Jan-2019","1,314.65","1,321.20","1,331.90","1,280.85","1,296.90","1,292.30","1,311.79","5,71,327","74,94,62,045.75","23,263","2,45,292","42.93"
"APOLLOHOSP","EQ","28-Jan-2019","1,292.30","1,287.00","1,302.10","1,262.65","1,266.00","1,265.80","1,271.03","2,54,670","32,36,93,810.35","13,859","-","-"
"APOLLOHOSP","EQ","29-Jan-2019","1,265.80","1,259.00","1,306.75","1,254.00","1,298.00","1,299.65","1,290.43","4,63,118","59,76,19,544.20","31,157","1,50,638","32.53"
"APOLLOHOSP","EQ","30-Jan-2019","1,299.65","1,299.00","1,323.00","1,297.50","1,323.00","1,319.60","1,312.18","3,15,858","41,44,61,187.10","20,015","1,08,056","34.21"
"APOLLOHOSP","EQ","31-Jan-2019","1,319.60","1,315.00","1,334.00","1,313.35","1,325.00","1,325.65","1,322.85","4,71,658","62,39,31,942.20","24,911","2,29,708","48.70"
"APOLLOHOSP","EQ","01-Feb-2019","1,325.65","1,320.00","1,357.90","1,320.00","1,341.00","1,341.25","1,339.53","5,30,789","71,10,05,678.50","36,759","1,81,492","34.19"
"APOLLOHOSP","EQ","04-Feb-2019","1,341.25","1,335.00","1,336.90","1,278.50","1,300.00","1,296.75","1,297.51","5,48,166","71,12,50,595.15","38,248","2,40,753","43.92"
"APOLLOHOSP","EQ","05-Feb-2019","1,296.75","1,300.00","1,309.80","1,282.00","1,292.10","1,290.85","1,289.84","4,23,344","54,60,48,051.60","33,309","1,61,973","38.26"
"APOLLOHOSP","EQ","06-Feb-2019","1,290.85","1,298.00","1,315.00","1,287.90","1,310.00","1,304.05","1,299.76","4,10,854","53,40,10,318.00","28,153","1,86,811","45.47"
"APOLLOHOSP","EQ","07-Feb-2019","1,304.05","1,304.05","1,319.00","1,290.10","1,299.75","1,295.85","1,299.57","3,05,098","39,64,94,973.25","20,665","1,58,507","51.95"
"APOLLOHOSP","EQ","08-Feb-2019","1,295.85","1,298.50","1,298.50","1,252.10","1,258.40","1,257.85","1,270.67","5,81,292","73,86,28,017.05","23,319","2,74,348","47.20"
"APOLLOHOSP","EQ","11-Feb-2019","1,257.85","1,300.00","1,300.00","1,090.00","1,124.10","1,121.90","1,145.17","54,24,327","6,21,17,80,279.90","2,11,252","9,48,919","17.49"
"APOLLOHOSP","EQ","12-Feb-2019","1,121.90","1,133.00","1,189.90","1,101.10","1,142.00","1,132.25","1,132.68","47,32,005","5,35,98,51,618.35","1,70,598","11,06,076","23.37"
"APOLLOHOSP","EQ","13-Feb-2019","1,132.25","1,154.00","1,164.65","1,135.35","1,151.00","1,149.80","1,149.99","9,89,560","1,13,79,88,578.30","42,229","3,21,125","32.45"
"APOLLOHOSP","EQ","14-Feb-2019","1,149.80","1,155.50","1,169.95","1,126.85","1,165.00","1,152.35","1,145.46","7,08,081","81,10,76,411.30","36,456","2,54,648","35.96"
"APOLLOHOSP","EQ","15-Feb-2019","1,152.35","1,142.10","1,152.10","1,130.00","1,149.85","1,142.80","1,143.20","3,86,448","44,17,85,790.20","26,962","1,24,150","32.13"
"APOLLOHOSP","EQ","18-Feb-2019","1,142.80","1,143.00","1,149.15","1,083.10","1,125.00","1,116.85","1,109.28","13,23,161","1,46,77,62,313.40","69,821","2,35,331","17.79"
"APOLLOHOSP","EQ","19-Feb-2019","1,116.85","1,125.00","1,146.70","1,112.10","1,119.00","1,116.40","1,129.16","9,69,990","1,09,52,76,193.60","43,791","3,71,986","38.35"
"APOLLOHOSP","EQ","20-Feb-2019","1,116.40","1,127.00","1,143.40","1,120.00","1,126.50","1,129.60","1,128.67","11,88,434","1,34,13,54,781.25","26,590","7,24,814","60.99"
"APOLLOHOSP","EQ","21-Feb-2019","1,129.60","1,135.00","1,158.00","1,127.00","1,156.00","1,152.20","1,141.64","13,08,447","1,49,37,74,558.20","32,506","8,12,420","62.09"
"APOLLOHOSP","EQ","22-Feb-2019","1,152.20","1,145.00","1,155.50","1,139.60","1,143.95","1,146.20","1,148.57","5,11,047","58,69,75,543.25","14,663","2,93,629","57.46"
"APOLLOHOSP","EQ","25-Feb-2019","1,146.20","1,145.90","1,198.00","1,131.40","1,184.00","1,187.45","1,169.03","13,74,338","1,60,66,36,374.75","43,442","5,52,691","40.22"
"APOLLOHOSP","EQ","26-Feb-2019","1,187.45","1,175.60","1,177.05","1,148.00","1,156.75","1,157.35","1,160.89","10,71,336","1,24,37,03,458.00","56,941","5,43,799","50.76"
"APOLLOHOSP","EQ","27-Feb-2019","1,157.35","1,166.00","1,179.90","1,140.70","1,149.00","1,149.30","1,163.45","10,37,445","1,20,70,20,439.65","57,722","5,41,304","52.18"
"APOLLOHOSP","EQ","28-Feb-2019","1,149.30","1,155.05","1,160.00","1,137.00","1,140.00","1,140.90","1,142.83","6,95,585","79,49,35,561.35","37,503","4,15,775","59.77"
"APOLLOHOSP","EQ","01-Mar-2019","1,140.90","1,140.10","1,165.85","1,140.00","1,151.25","1,151.85","1,155.01","9,04,319","1,04,44,99,964.85","35,639","4,32,726","47.85"
"APOLLOHOSP","EQ","05-Mar-2019","1,151.85","1,159.80","1,195.00","1,146.80","1,188.35","1,191.90","1,177.92","5,64,049","66,44,05,176.00","31,185","2,31,156","40.98"
"APOLLOHOSP","EQ","06-Mar-2019","1,191.90","1,186.90","1,212.85","1,183.50","1,188.90","1,192.75","1,195.54","16,79,631","2,00,80,71,174.75","50,126","11,94,819","71.14"
"APOLLOHOSP","EQ","07-Mar-2019","1,192.75","1,195.35","1,202.00","1,179.30","1,186.00","1,186.95","1,194.74","6,42,857","76,80,46,021.60","32,181","3,34,470","52.03"
"APOLLOHOSP","EQ","08-Mar-2019","1,186.95","1,186.00","1,188.45","1,167.00","1,171.50","1,171.90","1,173.90","2,68,170","31,48,04,238.70","14,599","58,352","21.76"
"APOLLOHOSP","EQ","11-Mar-2019","1,171.90","1,172.50","1,211.80","1,172.50","1,203.40","1,204.05","1,201.86","9,38,550","1,12,80,08,971.75","47,095","4,70,732","50.16"
"APOLLOHOSP","EQ","12-Mar-2019","1,204.05","1,211.90","1,211.90","1,132.70","1,165.00","1,157.25","1,170.02","13,70,850","1,60,39,23,988.80","41,969","5,11,098","37.28"
"APOLLOHOSP","EQ","13-Mar-2019","1,157.25","1,160.00","1,166.05","1,092.00","1,120.00","1,117.60","1,120.60","17,97,280","2,01,40,32,140.05","83,569","6,77,313","37.69"
"APOLLOHOSP","EQ","14-Mar-2019","1,117.60","1,123.00","1,143.40","1,116.10","1,132.50","1,131.95","1,134.08","7,17,230","81,33,95,992.15","25,553","3,17,087","44.21"
"APOLLOHOSP","EQ","15-Mar-2019","1,131.95","1,138.00","1,152.90","1,110.00","1,124.60","1,124.15","1,124.93","7,31,215","82,25,68,855.95","28,643","2,61,502","35.76"
"APOLLOHOSP","EQ","18-Mar-2019","1,124.15","1,126.40","1,139.90","1,115.00","1,125.00","1,119.65","1,123.44","3,53,486","39,71,21,775.40","15,685","90,801","25.69"
"APOLLOHOSP","EQ","19-Mar-2019","1,119.65","1,121.85","1,144.95","1,121.85","1,144.05","1,139.90","1,137.51","3,98,908","45,37,63,334.50","19,032","1,45,678","36.52"
"APOLLOHOSP","EQ","20-Mar-2019","1,139.90","1,147.70","1,180.10","1,135.00","1,165.00","1,166.00","1,163.24","12,69,611","1,47,68,56,577.80","59,122","4,43,281","34.91"
"APOLLOHOSP","EQ","22-Mar-2019","1,166.00","1,173.25","1,182.15","1,144.00","1,146.55","1,150.60","1,166.26","7,54,339","87,97,58,236.05","29,720","3,85,463","51.10"
"APOLLOHOSP","EQ","25-Mar-2019","1,150.60","1,149.00","1,160.85","1,134.45","1,146.00","1,147.05","1,150.84","4,67,825","53,83,93,818.50","25,245","1,96,354","41.97"
"APOLLOHOSP","EQ","26-Mar-2019","1,147.05","1,146.00","1,160.00","1,138.95","1,156.00","1,151.90","1,151.48","4,34,281","50,00,67,206.00","18,580","2,60,048","59.88"
"APOLLOHOSP","EQ","27-Mar-2019","1,151.90","1,163.00","1,178.10","1,150.05","1,155.00","1,153.75","1,165.28","4,86,185","56,65,42,206.50","16,938","1,86,351","38.33"
"APOLLOHOSP","EQ","28-Mar-2019","1,153.75","1,154.00","1,188.00","1,154.00","1,184.15","1,182.95","1,177.32","6,93,131","81,60,39,501.45","29,331","2,80,464","40.46"
"APOLLOHOSP","EQ","29-Mar-2019","1,182.95","1,195.40","1,253.35","1,188.95","1,233.00","1,227.60","1,233.52","17,80,366","2,19,61,23,700.70","67,183","5,34,508","30.02"
"APOLLOHOSP","EQ","01-Apr-2019","1,227.60","1,231.00","1,278.80","1,226.50","1,268.00","1,269.50","1,258.35","10,02,709","1,26,17,63,761.10","47,554","3,15,433","31.46"
"APOLLOHOSP","EQ","02-Apr-2019","1,269.50","1,269.00","1,284.00","1,248.65","1,256.00","1,255.30","1,261.95","6,38,278","80,54,76,752.20","35,705","1,79,675","28.15"
"APOLLOHOSP","EQ","03-Apr-2019","1,255.30","1,259.00","1,276.70","1,255.25","1,258.00","1,259.75","1,266.18","3,36,310","42,58,28,221.40","18,064","1,16,992","34.79"
"APOLLOHOSP","EQ","04-Apr-2019","1,259.75","1,262.95","1,269.00","1,249.05","1,257.50","1,256.25","1,257.69","2,36,648","29,76,28,800.15","12,814","56,412","23.84"
"APOLLOHOSP","EQ","05-Apr-2019","1,256.25","1,268.00","1,275.00","1,236.05","1,249.00","1,245.00","1,251.03","4,69,357","58,71,77,944.30","21,077","1,98,386","42.27"
"APOLLOHOSP","EQ","08-Apr-2019","1,245.00","1,249.00","1,257.40","1,230.55","1,235.05","1,237.10","1,241.75","4,79,351","59,52,34,421.45","14,698","2,81,134","58.65"
"APOLLOHOSP","EQ","09-Apr-2019","1,237.10","1,242.00","1,263.00","1,226.10","1,253.90","1,259.55","1,241.21","4,52,314","56,14,14,499.25","17,467","2,49,723","55.21"
"APOLLOHOSP","EQ","10-Apr-2019","1,259.55","1,253.20","1,269.75","1,240.30","1,244.00","1,246.25","1,253.68","2,51,194","31,49,18,134.20","16,975","42,204","16.80"
"APOLLOHOSP","EQ","11-Apr-2019","1,246.25","1,240.00","1,259.80","1,235.00","1,243.00","1,240.40","1,241.97","3,25,454","40,42,04,871.60","17,449","1,59,698","49.07"
"APOLLOHOSP","EQ","12-Apr-2019","1,240.40","1,247.70","1,268.20","1,231.60","1,267.00","1,264.30","1,247.51","3,65,799","45,63,39,321.60","15,644","1,72,680","47.21"
"APOLLOHOSP","EQ","15-Apr-2019","1,264.30","1,270.60","1,285.35","1,265.10","1,275.00","1,271.40","1,274.17","5,25,419","66,94,75,385.65","22,118","1,70,720","32.49"
"APOLLOHOSP","EQ","16-Apr-2019","1,271.40","1,271.25","1,294.90","1,271.05","1,275.00","1,275.20","1,281.30","3,75,036","48,05,32,667.45","14,773","1,22,005","32.53"
"APOLLOHOSP","EQ","18-Apr-2019","1,275.20","1,274.00","1,279.90","1,255.80","1,271.00","1,271.60","1,267.89","2,83,213","35,90,81,625.30","16,451","1,08,257","38.22"
"APOLLOHOSP","EQ","22-Apr-2019","1,271.60","1,269.00","1,269.00","1,219.00","1,233.00","1,232.05","1,238.80","5,34,002","66,15,22,325.15","21,633","2,75,796","51.65"
"APOLLOHOSP","EQ","23-Apr-2019","1,232.05","1,233.00","1,254.00","1,229.80","1,248.00","1,242.90","1,245.85","2,80,002","34,88,41,609.00","18,093","1,39,133","49.69"
"APOLLOHOSP","EQ","24-Apr-2019","1,242.90","1,242.90","1,268.70","1,222.00","1,229.40","1,228.80","1,240.73","5,69,926","70,71,26,878.00","23,069","2,58,772","45.40"
"APOLLOHOSP","EQ","25-Apr-2019","1,228.80","1,232.00","1,259.80","1,230.05","1,245.05","1,246.25","1,245.57","3,60,981","44,96,28,790.85","19,343","1,35,481","37.53"
"APOLLOHOSP","EQ","26-Apr-2019","1,246.25","1,243.00","1,254.90","1,226.30","1,235.10","1,239.20","1,237.74","2,42,464","30,01,08,540.95","14,955","86,916","35.85"
"APOLLOHOSP","EQ","30-Apr-2019","1,239.20","1,239.80","1,248.00","1,205.10","1,220.00","1,216.50","1,223.41","3,36,375","41,15,25,702.50","21,371","1,45,508","43.26"
"APOLLOHOSP","EQ","02-May-2019","1,216.50","1,217.00","1,224.90","1,153.80","1,194.55","1,194.55","1,190.17","10,83,586","1,28,96,54,627.40","49,155","2,91,555","26.91"
"APOLLOHOSP","EQ","03-May-2019","1,194.55","1,194.55","1,212.55","1,183.30","1,196.80","1,199.30","1,200.35","3,47,353","41,69,45,055.20","19,558","67,253","19.36"
"APOLLOHOSP","EQ","06-May-2019","1,199.30","1,170.35","1,205.85","1,170.35","1,185.10","1,190.30","1,190.91","2,25,661","26,87,42,968.05","17,877","59,186","26.23"
"APOLLOHOSP","EQ","07-May-2019","1,190.30","1,195.50","1,199.10","1,152.35","1,174.00","1,164.95","1,175.46","3,20,142","37,63,14,347.00","32,481","1,03,535","32.34"
"APOLLOHOSP","EQ","08-May-2019","1,164.95","1,156.00","1,183.60","1,152.00","1,169.05","1,170.30","1,166.78","2,46,581","28,77,06,607.20","11,555","24,501","9.94"
"APOLLOHOSP","EQ","09-May-2019","1,170.30","1,165.00","1,199.00","1,157.10","1,176.10","1,169.60","1,178.59","3,10,077","36,54,52,149.30","11,082","39,382","12.70"
"APOLLOHOSP","EQ","10-May-2019","1,169.60","1,176.15","1,196.50","1,167.65","1,192.05","1,186.55","1,181.83","1,73,882","20,54,99,344.80","9,971","35,931","20.66"
"APOLLOHOSP","EQ","13-May-2019","1,186.55","1,186.95","1,192.95","1,161.20","1,172.35","1,172.30","1,179.29","2,00,737","23,67,27,570.75","10,855","46,108","22.97"
"APOLLOHOSP","EQ","14-May-2019","1,172.30","1,175.90","1,175.90","1,130.00","1,148.00","1,142.50","1,146.85","6,25,364","71,71,98,811.55","46,790","2,39,922","38.37"
"APOLLOHOSP","EQ","15-May-2019","1,142.50","1,148.20","1,161.00","1,147.05","1,152.50","1,156.45","1,154.68","2,35,916","27,24,06,342.05","16,906","91,897","38.95"
"APOLLOHOSP","EQ","16-May-2019","1,156.45","1,161.90","1,161.90","1,112.15","1,136.20","1,136.45","1,132.93","5,05,445","57,26,33,422.10","31,685","95,053","18.81"
"APOLLOHOSP","EQ","17-May-2019","1,136.45","1,136.45","1,159.20","1,132.30","1,142.15","1,141.20","1,148.26","2,70,312","31,03,89,193.25","24,042","91,217","33.75"
"APOLLOHOSP","EQ","20-May-2019","1,141.20","1,158.05","1,206.90","1,158.05","1,192.00","1,198.30","1,190.47","3,26,706","38,89,32,809.00","19,376","1,35,979","41.62"
"APOLLOHOSP","EQ","21-May-2019","1,198.30","1,196.00","1,215.00","1,165.10","1,177.45","1,172.70","1,189.25","2,53,823","30,18,59,736.50","17,542","48,550","19.13"
"APOLLOHOSP","EQ","22-May-2019","1,172.70","1,177.70","1,179.00","1,154.00","1,169.70","1,162.95","1,164.56","2,21,323","25,77,44,063.60","16,226","55,324","25.00"
"APOLLOHOSP","EQ","23-May-2019","1,162.95","1,193.00","1,193.00","1,143.35","1,153.60","1,150.10","1,166.82","2,22,973","26,01,68,941.65","19,404","68,346","30.65"
"APOLLOHOSP","EQ","24-May-2019","1,150.10","1,159.75","1,188.50","1,155.50","1,171.00","1,170.50","1,173.38","2,57,237","30,18,36,337.55","13,935","60,849","23.65"
"APOLLOHOSP","EQ","27-May-2019","1,170.50","1,177.50","1,212.90","1,175.15","1,204.55","1,198.80","1,199.42","2,94,036","35,26,73,347.60","16,919","82,679","28.12"
"APOLLOHOSP","EQ","28-May-2019","1,198.80","1,200.00","1,209.45","1,181.00","1,197.75","1,190.80","1,191.86","5,12,288","61,05,78,047.90","31,162","3,09,451","60.41"
"APOLLOHOSP","EQ","29-May-2019","1,190.80","1,191.50","1,209.00","1,173.30","1,202.65","1,203.30","1,185.78","2,78,890","33,07,02,660.90","15,113","1,11,126","39.85"
"APOLLOHOSP","EQ","30-May-2019","1,203.30","1,211.95","1,234.50","1,192.50","1,204.10","1,203.00","1,213.14","10,87,194","1,31,89,22,627.55","49,296","1,89,116","17.39"
"APOLLOHOSP","EQ","31-May-2019","1,203.00","1,209.60","1,266.90","1,209.60","1,238.80","1,238.80","1,243.75","13,42,593","1,66,98,46,262.00","65,728","3,34,482","24.91"
"APOLLOHOSP","EQ","03-Jun-2019","1,238.80","1,243.00","1,368.70","1,243.00","1,359.80","1,357.30","1,336.35","38,36,627","5,12,70,68,241.40","1,31,729","4,74,989","12.38"
"APOLLOHOSP","EQ","04-Jun-2019","1,357.30","1,350.00","1,357.45","1,324.00","1,332.35","1,332.30","1,334.74","13,06,110","1,74,33,23,245.65","46,891","4,08,710","31.29"
"APOLLOHOSP","EQ","06-Jun-2019","1,332.30","1,337.00","1,375.00","1,327.30","1,338.95","1,342.15","1,353.00","12,26,417","1,65,93,39,944.50","54,291","2,63,464","21.48"
"APOLLOHOSP","EQ","07-Jun-2019","1,342.15","1,342.00","1,406.00","1,330.75","1,391.30","1,398.20","1,380.06","19,63,985","2,71,04,25,470.60","60,605","4,32,084","22.00"
"APOLLOHOSP","EQ","10-Jun-2019","1,398.20","1,400.00","1,402.50","1,368.25","1,386.05","1,379.10","1,384.20","7,31,973","1,01,31,95,837.65","32,379","1,45,827","19.92"
"APOLLOHOSP","EQ","11-Jun-2019","1,379.10","1,385.70","1,401.45","1,375.00","1,378.00","1,379.95","1,388.76","8,27,845","1,14,96,80,260.85","32,859","2,50,222","30.23"
"APOLLOHOSP","EQ","12-Jun-2019","1,379.95","1,380.90","1,398.85","1,365.00","1,381.50","1,381.75","1,384.87","5,23,008","72,42,97,523.75","22,530","34,793","6.65"
"APOLLOHOSP","EQ","13-Jun-2019","1,381.75","1,380.50","1,383.80","1,355.50","1,373.00","1,374.30","1,369.06","3,76,393","51,53,05,871.55","25,548","97,752","25.97"
"APOLLOHOSP","EQ","14-Jun-2019","1,374.30","1,371.00","1,394.90","1,366.50","1,371.05","1,370.60","1,380.22","3,49,894","48,29,30,728.80","19,833","53,384","15.26"
"APOLLOHOSP","EQ","17-Jun-2019","1,370.60","1,379.00","1,388.00","1,356.10","1,362.00","1,361.05","1,367.07","4,18,598","57,22,51,645.05","24,126","1,00,663","23.48"
"APOLLOHOSP","EQ","18-Jun-2019","1,361.05","1,361.90","1,366.00","1,338.00","1,355.00","1,354.70","1,350.67","4,34,991","58,75,30,426.15","29,406","97,216","21.26"
"APOLLOHOSP","EQ","19-Jun-2019","1,354.70","1,357.00","1,383.00","1,341.00","1,351.00","1,351.75","1,365.64","4,86,030","66,37,42,959.05","26,590","86,013","17.70"
"APOLLOHOSP","EQ","20-Jun-2019","1,351.75","1,392.00","1,404.20","1,355.30","1,373.60","1,374.30","1,376.82","14,62,438","2,01,35,09,190.50","61,678","3,24,384","22.18"
"APOLLOHOSP","EQ","21-Jun-2019","1,374.30","1,373.00","1,385.30","1,343.35","1,347.65","1,348.25","1,360.23","5,63,852","76,69,66,269.15","29,229","2,42,191","42.95"
"APOLLOHOSP","EQ","24-Jun-2019","1,348.25","1,353.90","1,357.10","1,330.05","1,345.00","1,344.65","1,339.41","4,20,849","56,36,87,451.80","30,942","1,59,182","37.82"
"APOLLOHOSP","EQ","25-Jun-2019","1,344.65","1,345.00","1,351.45","1,309.95","1,328.60","1,324.85","1,326.99","11,56,668","1,53,48,83,010.50","54,399","5,96,120","51.54"
"APOLLOHOSP","EQ","26-Jun-2019","1,324.85","1,320.00","1,325.05","1,301.05","1,305.50","1,307.95","1,309.64","5,97,977","78,31,33,580.45","30,659","2,46,135","41.16"
"APOLLOHOSP","EQ","27-Jun-2019","1,307.95","1,310.55","1,322.95","1,292.60","1,313.10","1,312.45","1,309.95","6,88,891","90,24,13,001.00","26,612","2,01,900","29.31"
"APOLLOHOSP","EQ","28-Jun-2019","1,312.45","1,324.90","1,382.00","1,319.30","1,365.00","1,359.20","1,355.70","15,68,379","2,12,62,44,173.90","61,027","2,82,967","18.04"
